seed_asv_reads	description	accession	identity_percentage	evalue	bitscore
ASV1300_642	Uncultured bacterium partial 16S rRNA gene, clone DHB-C68	LN680121	92.00	3.25485e-92	190.0
ASV1300_642	Uncultured bacterium clone RS-B84 16S ribosomal RNA gene, partial sequence	JF809781	91.76	3.25485e-92	190.0
ASV1300_642	Uncultured proteobacterium clone GASP-KC3S3_H03 16S ribosomal RNA gene, partial sequence	EU300281	92.06	3.25485e-92	190.0
ASV1300_642	Uncultured bacterium clone New.OTU3574_1 16S ribosomal RNA gene, partial sequence	MF368090	92.56	4.21042e-91	188.0
ASV1300_642	Uncultured bacterium clone OTU_10030 16S ribosomal RNA gene, partial sequence	KR841314	92.56	4.21042e-91	188.0
ASV1300_642	Uncultured bacterium clone OTU_4748 16S ribosomal RNA gene, partial sequence	KR836032	92.56	4.21042e-91	188.0
ASV1300_642	Uncultured bacterium clone OTU_14239 16S ribosomal RNA gene, partial sequence	KU336534	92.28	4.21042e-91	188.0
ASV1300_642	uncultured bacterium DNA containing 16S-23S intergenic spacer region, clone 43	OW754178	92.24	4.21042e-91	188.0
ASV1300_642	uncultured bacterium DNA containing 16S-23S intergenic spacer region, clone 43	OW746145	92.24	4.21042e-91	188.0
ASV1300_642	uncultured bacterium DNA containing 16S-23S intergenic spacer region, clone 43	OW746123	92.56	4.21042e-91	188.0
ASV1300_642	Uncultured bacterium clone OTU71 16S ribosomal RNA gene, partial sequence	MF454874	91.60	1.51434e-90	187.0
ASV1300_642	Uncultured candidate division OP3 bacterium clone S2-072 16S ribosomal RNA gene, partial sequence	KF183008	91.63	1.51434e-90	187.0
ASV1300_642	Uncultured bacterium clone HDB_SIPO716 16S ribosomal RNA gene, partial sequence	HM187190	91.63	1.51434e-90	187.0
ASV1300_642	Uncultured bacterium clone MS-A150 16S ribosomal RNA gene, partial sequence	FJ949404	91.30	1.51434e-90	187.0
ASV1300_642	Uncultured bacterium clone Tet1mes2C9 16S ribosomal RNA gene, partial sequence	EU290284	91.30	1.51434e-90	187.0
ASV1300_642	Uncultured bacterium clone ExkYyy30 16S ribosomal RNA gene, partial sequence	KX173264	91.30	5.44652e-90	186.0
ASV1300_642	Uncultured organism clone 2217 16S ribosomal RNA gene, partial sequence	KX473029	92.21	5.44652e-90	186.0
ASV1300_642	Uncultured organism clone 2141 16S ribosomal RNA gene, partial sequence	KX472953	92.53	5.44652e-90	186.0
ASV1300_642	Uncultured bacterium clone New.OTU6971_1 16S ribosomal RNA gene, partial sequence	MF369023	92.15	1.95892e-89	185.0
ASV1300_642	Uncultured bacterium clone New.OTU6148_1 16S ribosomal RNA gene, partial sequence	MF368803	92.28	1.95892e-89	185.0
ASV1300_642	uncultured bacterium DNA containing 16S-23S intergenic spacer region, clone 43	OW754186	91.84	1.95892e-89	185.0
ASV1300_642	uncultured bacterium DNA containing 16S-23S intergenic spacer region, clone 43	OW746135	91.84	1.95892e-89	185.0
ASV1300_642	uncultured bacterium DNA containing 16S-23S intergenic spacer region, clone 43	OW746127	91.90	1.95892e-89	185.0
ASV1300_642	uncultured bacterium DNA containing 16S-23S intergenic spacer region, clone 43	OW746124	91.84	1.95892e-89	185.0
ASV1306_637	Uncultured bacterium clone OTU_5808 16S ribosomal RNA gene, partial sequence	MH529456	98.81	3.11958e-122	244.0
ASV1306_637	Uncultured bacterium clone W031c1_13649 16S ribosomal RNA gene, partial sequence	JQ384130	98.82	3.11958e-122	244.0
ASV1306_637	Uncultured bacterium clone 07152 16S ribosomal RNA gene, partial sequence	MF011563	98.81	1.122e-121	243.0
ASV1306_637	Uncultured bacterium clone OTU_5787 16S ribosomal RNA gene, partial sequence	MH529435	98.42	1.4514e-120	241.0
ASV1306_637	Uncultured bacterium partial 16S rRNA gene, isolate Mineral.bttm.1.6.1.4_426466	LN531544	98.02	6.75271e-119	238.0
ASV1306_637	Uncultured bacterium partial 16S rRNA gene, isolate Mineral.bttm.1.6.1.4_267101	LN527962	98.02	6.75271e-119	238.0
ASV1306_637	Uncultured bacterium partial 16S rRNA gene, isolate Mineral.bttm.1.6.1.4_238925	LN527366	98.02	6.75271e-119	238.0
ASV1306_637	Uncultured bacterium partial 16S rRNA gene, isolate Mineral.bttm.1.4.1.2_299584	LN520004	98.02	6.75271e-119	238.0
ASV1306_637	Uncultured prokaryote gene for urease, partial sequence, 16S_OTU:13364	LC300418	98.78	8.73519e-118	236.0
ASV1306_637	Uncultured bacterium clone OTU_12466 16S ribosomal RNA gene, partial sequence	KR843750	98.78	8.73519e-118	236.0
ASV1306_637	Uncultured bacterium partial 16S rRNA gene, isolate Mineral.bttm.1.6.1.4_22323	LN522812	97.63	3.14173e-117	235.0
ASV1306_637	Uncultured bacterium clone OTU_5949 16S ribosomal RNA gene, partial sequence	MH529597	97.23	1.46171e-115	232.0
ASV1306_637	Uncultured bacterium partial 16S rRNA gene, isolate Mineral.top.2.1.6_144402	LN544490	97.23	1.46171e-115	232.0
ASV1306_637	Uncultured bacterium partial 16S rRNA gene, isolate Mineral.bttm.1.6.1.4_251486	LN527627	97.23	1.46171e-115	232.0
ASV1306_637	Uncultured bacterium partial 16S rRNA gene, isolate Mineral.top.2.1.6_410448	LN550917	97.23	1.46171e-115	232.0
ASV1306_637	Uncultured bacterium partial 16S rRNA gene, isolate Mineral.top.2.1.6_360570	LN549677	97.23	1.46171e-115	232.0
ASV1306_637	uncultured Bacterium partial 16S rRNA gene	OV288926	97.22	5.25723e-115	231.0
ASV1306_637	Uncultured bacterium clone OTU_5734 16S ribosomal RNA gene, partial sequence	MH529382	96.85	6.80065e-114	229.0
ASV1306_637	Uncultured organism isolate 1301VA10 clone 142 16S ribosomal RNA gene, partial sequence	KT271336	97.57	6.80065e-114	229.0
ASV1306_637	Uncultured bacterium partial 16S rRNA gene, isolate Mineral.bttm.1.6.1.4_315207	LN529087	96.84	6.80065e-114	229.0
ASV1306_637	Uncultured bacterium partial 16S rRNA gene, isolate Mineral.bttm.1.6.1.4_257251	LN527751	96.84	6.80065e-114	229.0
ASV1306_637	Uncultured bacterium partial 16S rRNA gene, isolate Mineral.bttm.1.6.1.4_171839	LN525911	96.84	6.80065e-114	229.0
ASV1306_637	Uncultured candidate division OD1 bacterium clone Paddy_75_2211 16S ribosomal RNA gene, partial sequence	JF982923	96.84	6.80065e-114	229.0
ASV1306_637	Uncultured bacterium clone GASP-WC2S1_F12 16S ribosomal RNA gene, partial sequence	EF074958	96.84	6.80065e-114	229.0
ASV1306_637	uncultured Bacterium partial 16S rRNA gene	OV288288	96.83	2.44595e-113	228.0
ASV1306_637	Uncultured bacterium clone OTU_5917 16S ribosomal RNA gene, partial sequence	MH529565	96.44	3.16404e-112	226.0
ASV1306_637	Uncultured bacterium partial 16S rRNA gene, isolate Mineral.bttm.1.6.1.4_407328	LN531089	96.44	3.16404e-112	226.0
ASV1306_637	Uncultured bacterium partial 16S rRNA gene, isolate Mineral.bttm.1.6.1.4_360079	LN530026	96.44	3.16404e-112	226.0
ASV1306_637	Uncultured bacterium partial 16S rRNA gene, isolate Mineral.bttm.1.6.1.4_351087	LN529840	96.44	3.16404e-112	226.0
ASV1306_637	Uncultured bacterium partial 16S rRNA gene, isolate Mineral.bttm.1.6.1.4_298518	LN528666	96.44	3.16404e-112	226.0
ASV1306_637	Uncultured bacterium partial 16S rRNA gene, isolate Mineral.bttm.1.6.1.4_294219	LN528576	96.44	3.16404e-112	226.0
ASV1306_637	Uncultured bacterium partial 16S rRNA gene, isolate Mineral.bttm.1.6.1.4_244411	LN527473	96.44	3.16404e-112	226.0
ASV1306_637	Uncultured bacterium partial 16S rRNA gene, isolate Mineral.bttm.1.6.1.4_72607	LN523804	96.44	3.16404e-112	226.0
ASV1306_637	Uncultured bacterium partial 16S rRNA gene, isolate Mineral.bttm.1.6.1.4_9185 >gi|697249902|emb|LN526980.1| Uncultured bacterium partial 16S rRNA gene, isolate Mineral.bttm.1.6.1.4_222797	LN522563	96.44	3.16404e-112	226.0
ASV1306_637	Uncultured bacterium partial 16S rRNA gene, isolate Mineral.top.1.6.1.4_152413	LN535095	96.44	3.16404e-112	226.0
ASV1306_637	Uncultured bacterium partial 16S rRNA gene, isolate Mineral.bttm.1.4.1.2_294016	LN519911	96.44	3.16404e-112	226.0
ASV1306_637	Uncultured bacterium partial 16S rRNA gene, isolate Mineral.bttm.1.4.1.2_280341	LN519688	96.44	3.16404e-112	226.0
ASV1306_637	Uncultured bacterium partial 16S rRNA gene, isolate Mineral.top.1.6.1.4_109495	LN534220	96.44	3.16404e-112	226.0
ASV1306_637	uncultured bacterium partial 16S rRNA gene	LR982946	96.43	1.13799e-111	225.0
ASV1306_637	uncultured bacterium partial 16S rRNA gene	LR977747	96.43	1.13799e-111	225.0
ASV1306_637	uncultured bacterium partial 16S rRNA gene	LR972702	96.43	1.13799e-111	225.0
ASV1306_637	uncultured bacterium partial 16S rRNA gene	LR967646	96.43	1.13799e-111	225.0
ASV1306_637	Uncultured prokaryote gene for urease, partial sequence, 16S_OTU:13447	LC300495	97.14	4.09294e-111	224.0
ASV1306_637	Uncultured bacterium clone OTU85824_AL194_7650462 16S ribosomal RNA gene, partial sequence	KP936171	97.15	4.09294e-111	224.0
ASV1306_637	Uncultured bacterium clone OTU748_AL231_7546278 16S ribosomal RNA gene, partial sequence	KP914619	97.14	4.09294e-111	224.0
ASV1306_637	Uncultured bacterium clone OTU_5969 16S ribosomal RNA gene, partial sequence	MH529617	96.05	1.47208e-110	223.0
ASV1306_637	Uncultured bacterium clone OTU_5902 16S ribosomal RNA gene, partial sequence	MH529550	96.06	1.47208e-110	223.0
ASV1306_637	Uncultured bacterium clone OTU_5801 16S ribosomal RNA gene, partial sequence	MH529449	96.05	1.47208e-110	223.0
ASV1306_637	Uncultured bacterium partial 16S rRNA gene, isolate Mineral.bttm.1.6.1.4_381736	LN530512	96.05	1.47208e-110	223.0
ASV1306_637	Uncultured bacterium partial 16S rRNA gene, isolate Mineral.bttm.1.6.1.4_342277	LN529652	96.05	1.47208e-110	223.0
ASV1314_631	Uncultured bacterium clone SEAS_592 16S ribosomal RNA gene, partial sequence	KU675452	99.59	1.8602e-119	239.0
ASV1314_631	Uncultured bacterium clone 32-40 16S ribosomal RNA gene, partial sequence	JX537882	90.36	1.95464e-84	176.0
ASV1317_630	Uncultured bacterium clone DolOr_40314 16S ribosomal RNA gene, partial sequence	JQ215669	91.80	7.09257e-94	193.0
ASV1317_630	Uncultured bacterium clone DolOr_40785 16S ribosomal RNA gene, partial sequence	JQ215560	91.80	7.09257e-94	193.0
ASV1317_630	Uncultured bacterium clone wt2-4 16S ribosomal RNA gene, partial sequence	JN639290	91.41	3.29985e-92	190.0
ASV1317_630	Uncultured bacterium clone DolOr_23753 16S ribosomal RNA gene, partial sequence	JQ210713	91.05	1.53527e-90	187.0
ASV1317_630	Uncultured marine bacterium clone DLPY14 16S ribosomal RNA gene, partial sequence	JX495022	91.02	1.53527e-90	187.0
ASV1317_630	Uncultured bacterium clone A11_BICF21 16S ribosomal RNA gene, partial sequence	JN813660	91.02	1.53527e-90	187.0
ASV1317_630	Uncultured bacterium clone C6_BICF21 16S ribosomal RNA gene, partial sequence	JN813677	90.66	7.14292e-89	184.0
ASV1317_630	Uncultured bacterium clone wt3-31 16S ribosomal RNA gene, partial sequence	JN639313	90.23	3.32328e-87	181.0
ASV1317_630	Uncultured bacterium clone OTU47109_AL242_58928 16S ribosomal RNA gene, partial sequence	KP930676	90.20	9.30555e-83	173.0
ASV1317_630	Uncultured bacterium clone B_OTU_1436 16S ribosomal RNA gene, partial sequence	KX031418	91.18	3.34687e-82	172.0
ASV1322_628	Serratia marcescens strain WZ14 16S ribosomal RNA gene, partial sequence	OR492361	100.00	6.51044e-88	182.0
ASV1322_628	Serratia sp. (in: enterobacteria) strain SN6 I-Bac 16S ribosomal RNA gene, partial sequence	OR490499	100.00	6.51044e-88	182.0
ASV1322_628	Serratia marcescens strain BN7 16S ribosomal RNA gene, partial sequence	OR272261	100.00	6.51044e-88	182.0
ASV1322_628	Serratia marcescens strain MIM3 16S ribosomal RNA gene, partial sequence	OR272227	100.00	6.51044e-88	182.0
ASV1322_628	Serratia marcescens strain MIM2 16S ribosomal RNA gene, partial sequence	OR272226	100.00	6.51044e-88	182.0
ASV1322_628	Serratia marcescens strain A01 16S ribosomal RNA gene, partial sequence	OR253740	100.00	6.51044e-88	182.0
ASV1322_628	Serratia marcescens strain RR20 16S ribosomal RNA gene, partial sequence	OR244467	100.00	6.51044e-88	182.0
ASV1322_628	Serratia sp. (in: enterobacteria) strain 13 16S ribosomal RNA gene, partial sequence	OR136204	100.00	6.51044e-88	182.0
ASV1322_628	Serratia sp. (in: enterobacteria) strain 12 16S ribosomal RNA gene, partial sequence	OR136202	100.00	6.51044e-88	182.0
ASV1322_628	Serratia sp. (in: enterobacteria) strain 11 16S ribosomal RNA gene, partial sequence	OR136201	100.00	6.51044e-88	182.0
ASV1322_628	Serratia sp. (in: enterobacteria) strain 10 16S ribosomal RNA gene, partial sequence	OR136200	100.00	6.51044e-88	182.0
ASV1322_628	Serratia sp. (in: enterobacteria) strain 9 16S ribosomal RNA gene, partial sequence	OR136199	100.00	6.51044e-88	182.0
ASV1322_628	Serratia sp. (in: enterobacteria) strain 8 16S ribosomal RNA gene, partial sequence	OR136198	100.00	6.51044e-88	182.0
ASV1322_628	Serratia sp. (in: enterobacteria) strain 7 16S ribosomal RNA gene, partial sequence	OR136197	100.00	6.51044e-88	182.0
ASV1322_628	Serratia sp. (in: enterobacteria) strain 6 16S ribosomal RNA gene, partial sequence	OR136196	100.00	6.51044e-88	182.0
ASV1322_628	Serratia marcescens strain ELP1.10 chromosome, complete genome	CP127881	100.00	6.51044e-88	182.0
ASV1322_628	Serratia marcescens strain ELP1.10 chromosome, complete genome	CP127881	100.00	6.51044e-88	182.0
ASV1322_628	Serratia marcescens strain ELP1.10 chromosome, complete genome	CP127881	100.00	6.51044e-88	182.0
ASV1322_628	Serratia marcescens strain ELP1.10 chromosome, complete genome	CP127881	100.00	6.51044e-88	182.0
ASV1322_628	Serratia marcescens strain ELP1.10 chromosome, complete genome	CP127881	100.00	6.51044e-88	182.0
ASV1322_628	Serratia marcescens strain ELP1.10 chromosome, complete genome	CP127881	100.00	6.51044e-88	182.0
ASV1322_628	Serratia marcescens strain ELP1.10 chromosome, complete genome	CP127881	100.00	6.51044e-88	182.0
ASV1322_628	Serratia nematodiphila DZ0503SBS1 strain T27 16S ribosomal RNA gene, partial sequence	OR121902	100.00	6.51044e-88	182.0
ASV1322_628	Serratia nematodiphila DZ0503SBS1 strain T26 16S ribosomal RNA gene, partial sequence	OR121901	100.00	6.51044e-88	182.0
ASV1322_628	Serratia marcescens strain T21 16S ribosomal RNA gene, partial sequence	OR121899	100.00	6.51044e-88	182.0
ASV1322_628	Serratia nematodiphila DZ0503SBS1 strain T138 16S ribosomal RNA gene, partial sequence	OR121885	100.00	6.51044e-88	182.0
ASV1322_628	Serratia nematodiphila DZ0503SBS1 strain T125 16S ribosomal RNA gene, partial sequence	OR121880	100.00	6.51044e-88	182.0
ASV1322_628	Serratia nematodiphila DZ0503SBS1 strain T122 16S ribosomal RNA gene, partial sequence	OR121877	100.00	6.51044e-88	182.0
ASV1322_628	Serratia nematodiphila DZ0503SBS1 strain D114 16S ribosomal RNA gene, partial sequence	OR121833	100.00	6.51044e-88	182.0
ASV1322_628	Serratia nematodiphila DZ0503SBS1 strain C104 16S ribosomal RNA gene, partial sequence	OR121814	100.00	6.51044e-88	182.0
ASV1322_628	Serratia nematodiphila strain RR16 16S ribosomal RNA gene, partial sequence	OR098552	100.00	6.51044e-88	182.0
ASV1322_628	Serratia marcescens strain RC 16S ribosomal RNA gene, partial sequence	OR085839	100.00	6.51044e-88	182.0
ASV1322_628	Serratia marcescens strain MICUL A2023 16S ribosomal RNA gene, partial sequence	OR083651	100.00	6.51044e-88	182.0
ASV1322_628	Serratia marcescens strain R18 16S ribosomal RNA gene, partial sequence	OR043023	100.00	6.51044e-88	182.0
ASV1322_628	Serratia sp. (in: enterobacteria) strain FL1 16S ribosomal RNA gene, partial sequence	OR076433	100.00	6.51044e-88	182.0
ASV1322_628	Serratia nevei strain 2017-45-174 chromosome, complete genome	CP109739	100.00	6.51044e-88	182.0
ASV1322_628	Serratia nevei strain 2017-45-174 chromosome, complete genome	CP109739	100.00	6.51044e-88	182.0
ASV1322_628	Serratia nevei strain 2017-45-174 chromosome, complete genome	CP109739	100.00	6.51044e-88	182.0
ASV1322_628	Serratia nevei strain 2017-45-174 chromosome, complete genome	CP109739	100.00	6.51044e-88	182.0
ASV1322_628	Serratia nevei strain 2017-45-174 chromosome, complete genome	CP109739	100.00	6.51044e-88	182.0
ASV1322_628	Serratia nevei strain 2017-45-174 chromosome, complete genome	CP109739	100.00	6.51044e-88	182.0
ASV1322_628	Serratia nevei strain 2017-45-174 chromosome, complete genome	CP109739	100.00	6.51044e-88	182.0
ASV1322_628	Serratia marcescens strain A9 16S ribosomal RNA gene, partial sequence	OR068723	100.00	6.51044e-88	182.0
ASV1322_628	Serratia nematodiphila strain BSB18 16S ribosomal RNA gene, partial sequence	OR058811	100.00	6.51044e-88	182.0
ASV1322_628	Serratia sp. (in: enterobacteria) strain PF14 16S ribosomal RNA gene, partial sequence	OQ825954	100.00	6.51044e-88	182.0
ASV1322_628	Serratia marcescens strain ASU3 16S ribosomal RNA gene, partial sequence	OQ875959	100.00	6.51044e-88	182.0
ASV1322_628	Serratia marcescens strain Jg1 16S ribosomal RNA gene, partial sequence	OQ626703	100.00	6.51044e-88	182.0
ASV1322_628	Serratia marcescens strain 2g5 16S ribosomal RNA gene, partial sequence	OQ626626	100.00	6.51044e-88	182.0
ASV1322_628	Serratia marcescens strain NF-HOB1 16S ribosomal RNA gene, partial sequence	OQ625884	100.00	6.51044e-88	182.0
ASV1322_628	Serratia marcescens strain 32P1 16S ribosomal RNA gene, partial sequence	OQ619042	100.00	6.51044e-88	182.0
ASV1322_628	Serratia marcescens strain 32N4 16S ribosomal RNA gene, partial sequence	OQ619041	100.00	6.51044e-88	182.0
ASV1322_628	Serratia marcescens strain 32N2 16S ribosomal RNA gene, partial sequence	OQ619040	100.00	6.51044e-88	182.0
ASV1322_628	Serratia marcescens strain 32N1 16S ribosomal RNA gene, partial sequence	OQ619039	100.00	6.51044e-88	182.0
ASV1322_628	Serratia marcescens strain 32L1 16S ribosomal RNA gene, partial sequence	OQ619038	100.00	6.51044e-88	182.0
ASV1322_628	Serratia marcescens strain 31P1 16S ribosomal RNA gene, partial sequence	OQ619037	100.00	6.51044e-88	182.0
ASV1322_628	Serratia marcescens strain 4P1 16S ribosomal RNA gene, partial sequence	OQ619036	100.00	6.51044e-88	182.0
ASV1322_628	Serratia marcescens strain 4N1 16S ribosomal RNA gene, partial sequence	OQ619035	100.00	6.51044e-88	182.0
ASV1322_628	Serratia marcescens strain 2P2 16S ribosomal RNA gene, partial sequence	OQ619034	100.00	6.51044e-88	182.0
ASV1322_628	Serratia marcescens strain Ak3 16S ribosomal RNA gene, partial sequence	OQ618990	100.00	6.51044e-88	182.0
ASV1322_628	Serratia marcescens strain KRSSSJU 16S ribosomal RNA gene, partial sequence	OP420559	100.00	6.51044e-88	182.0
ASV1322_628	Serratia marcescens strain Tb-3 16S ribosomal RNA gene, partial sequence	OP412984	100.00	6.51044e-88	182.0
ASV1322_628	Serratia marcescens partial 16S rRNA gene, isolate strain #121 (MBG-DUTH)/170518_6 (MED-DUTH)	OU548751	100.00	6.51044e-88	182.0
ASV1327_626	Uncultured bacterium clone 6022 16S ribosomal RNA gene, partial sequence	KU103437	100.00	8.67361e-123	245.0
ASV1327_626	Uncultured bacterium clone ELA_111314_OTU_1592 16S ribosomal RNA gene, partial sequence	KY517127	98.81	3.11958e-122	244.0
ASV1327_626	Uncultured bacterium clone 8-515yF-926pfR:8 16S ribosomal RNA gene, partial sequence	MG430764	99.59	4.03544e-121	242.0
ASV1327_626	Uncultured bacterium clone OTU_5964 16S ribosomal RNA gene, partial sequence	MH529612	98.02	6.75271e-119	238.0
ASV1327_626	Uncultured bacterium clone New.OTU8166_3 16S ribosomal RNA gene, partial sequence	MF369358	98.78	8.73519e-118	236.0
ASV1327_626	Uncultured bacterium clone 3867 16S ribosomal RNA gene, partial sequence	KX706157	98.38	4.06409e-116	233.0
ASV1327_626	Uncultured bacterium clone OTU_460 16S ribosomal RNA gene, partial sequence	KP785301	97.98	1.89084e-114	230.0
ASV1327_626	uncultured bacterium partial 16S rRNA gene	LR595215	96.86	6.80065e-114	229.0
ASV1327_626	Uncultured bacterium clone ELA_111314_OTU_5390 16S ribosomal RNA gene, partial sequence	KY520466	96.05	1.47208e-110	223.0
ASV1327_626	Uncultured bacterium partial 16S rRNA gene, isolate Mineral.bttm.1.6.1.4_354460	LN529903	96.08	1.47208e-110	223.0
ASV1327_626	Uncultured bacterium partial 16S rRNA gene, isolate Mineral.top.1.6.1.4_433246	LN540814	96.08	1.47208e-110	223.0
ASV1327_626	Uncultured bacterium partial 16S rRNA gene, isolate Mineral.bttm.1.6.1.4_59380	LN523531	96.08	1.47208e-110	223.0
ASV1327_626	Uncultured bacterium partial 16S rRNA gene, isolate Mineral.top.1.6.1.4_250041	LN537039	96.08	1.47208e-110	223.0
ASV1327_626	Uncultured bacterium partial 16S rRNA gene, isolate Mineral.top.1.6.1.4_77220	LN533601	96.08	1.47208e-110	223.0
ASV1327_626	Uncultured bacterium clone OTU_2274 16S ribosomal RNA gene, partial sequence	KX969910	95.65	6.84894e-109	220.0
ASV1327_626	Uncultured bacterium clone A494_Bac218 16S ribosomal RNA gene, partial sequence	KY124860	96.00	8.85966e-108	218.0
ASV1327_626	Uncultured bacterium clone ELA_111314_OTU_2256 16S ribosomal RNA gene, partial sequence	KY517746	95.29	3.1865e-107	217.0
ASV1327_626	Uncultured bacterium clone OTU_2856 16S ribosomal RNA gene, partial sequence	KX970464	95.29	3.1865e-107	217.0
ASV1327_626	Uncultured bacterium clone F5K2Q4C04JIXTB 16S ribosomal RNA gene, partial sequence	GU917774	95.28	3.1865e-107	217.0
ASV1327_626	Uncultured bacterium clone 19382 16S ribosomal RNA gene, partial sequence	KU115650	95.95	4.122e-106	215.0
ASV1327_626	Uncultured bacterium clone OTU_3339 16S ribosomal RNA gene, partial sequence	MK324893	95.51	1.91778e-104	212.0
ASV1327_626	Uncultured bacterium clone 3907 16S ribosomal RNA gene, partial sequence	KX706201	95.51	1.91778e-104	212.0
ASV1327_626	Uncultured bacterium clone js7872 16S ribosomal RNA gene, partial sequence	KY258253	95.51	1.91778e-104	212.0
ASV1327_626	Uncultured bacterium clone BSA210 16S ribosomal RNA gene, partial sequence	KY692406	94.47	6.89756e-104	211.0
ASV1327_626	Uncultured organism isolate 1210VA11 clone 38 16S ribosomal RNA gene, partial sequence	KT271071	95.14	6.89756e-104	211.0
ASV1327_626	Uncultured bacterium clone 19446 16S ribosomal RNA gene, partial sequence	KU115708	95.10	8.92256e-103	209.0
ASV1327_626	Uncultured bacterium clone cafs1169 16S ribosomal RNA gene, partial sequence	MF440294	94.12	3.20912e-102	208.0
ASV1327_626	Uncultured bacterium clone OTU_5886 16S ribosomal RNA gene, partial sequence	MH529534	94.07	3.20912e-102	208.0
ASV1327_626	Uncultured bacterium clone OTU_2292 16S ribosomal RNA gene, partial sequence	KX969927	94.07	3.20912e-102	208.0
ASV1327_626	Uncultured bacterium clone 3281 16S ribosomal RNA gene, partial sequence	KX705524	94.74	4.15126e-101	206.0
ASV1327_626	Uncultured bacterium partial 16S rRNA gene, isolate BACT_OTU_2739	LT844206	93.68	1.49306e-100	205.0
ASV1327_626	Uncultured bacterium clone OTU_11428 16S ribosomal RNA gene, partial sequence	KR842712	94.33	1.93139e-99	203.0
ASV1327_626	Uncultured bacterium clone OTU_12468 16S ribosomal RNA gene, partial sequence	KR843752	94.29	1.93139e-99	203.0
ASV1327_626	Uncultured bacterium clone 9979 16S ribosomal RNA gene, partial sequence	KU107098	94.29	1.93139e-99	203.0
ASV1327_626	Uncultured bacterium clone filt397333 16S ribosomal RNA gene, partial sequence	KY960259	94.29	1.93139e-99	203.0
ASV1327_626	Uncultured bacterium partial 16S rRNA gene, isolate OTU226	LT856908	93.28	6.94653e-99	202.0
ASV1327_626	Uncultured bacterium partial 16S rRNA gene, isolate BACT_OTU_761	LT843370	93.33	6.94653e-99	202.0
ASV1327_626	Uncultured bacterium partial 16S rRNA gene, isolate BACT_OTU_970	LT843517	93.33	6.94653e-99	202.0
ASV1327_626	Uncultured bacterium partial 16S rRNA gene, clone Iron-rich microbial mat clone Hoffnungsstollen_#5-2_H04	LN870984	93.05	2.49842e-98	201.0
ASV1327_626	Uncultured bacterium clone A494_Bac323 16S ribosomal RNA gene, partial sequence	KY124960	93.55	8.98591e-98	200.0
ASV1327_626	Uncultured prokaryote 16S_OTU:1251 gene for 16S rRNA, partial sequence	LC392139	93.85	3.23191e-97	199.0
ASV1327_626	Uncultured Parcubacteria group bacterium clone 2P.4250689 16S ribosomal RNA gene, partial sequence >gi|1701701870|gb|MN172129.1| Uncultured Parcubacteria group bacterium clone 2P.4355789 16S ribosomal RNA gene, partial sequence	MK904457	93.47	4.18074e-96	197.0
ASV1327_626	Uncultured bacterium clone OTU117964_AL220_67193 16S ribosomal RNA gene, partial sequence	KP917326	93.52	4.18074e-96	197.0
ASV1327_626	Uncultured bacterium clone cafs1014 16S ribosomal RNA gene, partial sequence	MF440155	92.49	1.50366e-95	196.0
ASV1327_626	Uncultured bacterium clone OTU_9767 16S ribosomal RNA gene, partial sequence	KR841051	93.06	1.94511e-94	194.0
ASV1327_626	Uncultured bacterium partial 16S rRNA gene, isolate Mineral.top.2.1.6_444915	LN551771	96.33	1.94511e-94	194.0
ASV1327_626	Uncultured bacterium clone filt326147 16S ribosomal RNA gene, partial sequence	KY961724	93.06	1.94511e-94	194.0
ASV1327_626	Uncultured bacterium clone OTU_6432 16S ribosomal RNA gene, partial sequence	KX973857	92.13	6.99585e-94	193.0
ASV1327_626	Uncultured bacterium clone OTU_4253 16S ribosomal RNA gene, partial sequence	KX971788	92.16	6.99585e-94	193.0
ASV1327_626	Uncultured bacterium partial 16S rRNA gene, isolate Mineral.top.1.6.1.4_97680	LN533973	92.09	6.99585e-94	193.0
ASV1331_624	Uncultured marine bacterium clone H3S3Ac69D 16S ribosomal RNA gene, partial sequence	KX936739	100.00	2.64382e-138	273.0
ASV1331_624	Uncultured bacterium clone SeaWat_F391 16S ribosomal RNA gene, partial sequence	JQ199111	100.00	2.64382e-138	273.0
ASV1331_624	Uncultured bacterium clone SeaWat_F665 16S ribosomal RNA gene, partial sequence	JQ199102	100.00	2.64382e-138	273.0
ASV1331_624	Uncultured bacterium clone SeaWat_F749 16S ribosomal RNA gene, partial sequence	JQ199006	100.00	2.64382e-138	273.0
ASV1331_624	Uncultured bacterium clone SeaWat_F223 16S ribosomal RNA gene, partial sequence	JQ198811	100.00	2.64382e-138	273.0
ASV1331_624	Uncultured marine bacterium clone J7-A10 16S ribosomal RNA gene, partial sequence	KF185590	100.00	2.64382e-138	273.0
ASV1331_624	Uncultured marine bacterium clone J4-F1 16S ribosomal RNA gene, partial sequence	KF185382	100.00	2.64382e-138	273.0
ASV1331_624	Uncultured bacterium clone BF2010_Aug_21m_B1 16S ribosomal RNA gene, partial sequence	JX864448	100.00	2.64382e-138	273.0
ASV1331_624	Uncultured bacterium clone AW10-9I_C32 16S ribosomal RNA gene, partial sequence	JX206577	100.00	2.64382e-138	273.0
ASV1331_624	Verrucomicrobia bacterium SCGC AAA160-P19 16S ribosomal RNA gene, partial sequence	JF488620	100.00	2.64382e-138	273.0
