taxa_query,found_taxa,rank,phylum,class,order,family,genus,worms_aphiaid,bold_id,gbif_key,ott_id,status,unacceptreason,is_synonym,flags,valid_authority,worms_sciname,tol_sciname,bold_taxon,gbif_sciname,freshwater_only,terrestrial_only
Ensidens,Ensidens,genus,Mollusca,Bivalvia,Unionida,Unionidae,Ensidens,1251064,717663,4592992,4161720,accepted,NA,FALSE,sibling_higher,"Frierson, 1911",Ensidens,Ensidens,Ensidens,"Ensidens Frierson, 1911",1,0
Falspleuroxia overlanderensis,Falspleuroxia overlanderensis,species,Mollusca,Gastropoda,Stylommatophora,Camaenidae,Falspleuroxia,1149059,682272,2294890,722311,accepted,NA,FALSE,NA,"Solem, 1997",Falspleuroxia overlanderensis,Falspleuroxia overlanderensis,Falspleuroxia overlanderensis,"Falspleuroxia overlanderensis Solem, 1997",0,1
Fluminicola fresti,Fluminicola fresti,species,Mollusca,Gastropoda,Littorinimorpha,Lithoglyphidae,Fluminicola,1048699,796126,9470472,7495448,accepted,NA,FALSE,NA,"Hershler, H.-P. Liu & Hubbart, 2017",Fluminicola fresti,Fluminicola fresti,Fluminicola fresti,"Fluminicola fresti Hershler, H.-P.Liu & Hubbart, 2017",1,0
Fluminicola multifarius,Fluminicola multifarius,species,Mollusca,Gastropoda,Littorinimorpha,Lithoglyphidae,Fluminicola,886912,79299,8919667,419831,accepted,NA,FALSE,NA,"Hershler, H.-P. Liu, Frest & Johannes, 2007",Fluminicola multifarius,Fluminicola multifarius,Fluminicola multifarius,"Fluminicola multifarius Hershler, H.-P.Liu, Frest & Johannes, 2007",1,0
Fluviopupa rurutua,Fluviopupa rurutua,species,Mollusca,Gastropoda,Littorinimorpha,Tateidae,Fluviopupa,1342585,795417,8408019,6356758,accepted,NA,FALSE,NA,"Haase, Gargominy & Fontaine, 2005",Fluviopupa rurutua,Fluviopupa rurutua,Fluviopupa rurutua,"Fluviopupa rurutua Haase, Gargominy & Fontaine, 2005",1,0
Fluviopupa tubuaia,Fluviopupa tubuaia,species,Mollusca,Gastropoda,Littorinimorpha,Tateidae,Fluviopupa,1342584,796127,8035359,6356763,accepted,NA,FALSE,NA,"Haase, Gargominy & Fontaine, 2005",Fluviopupa tubuaia,Fluviopupa tubuaia,Fluviopupa tubuaia,"Fluviopupa tubuaia Haase, Gargominy & Fontaine, 2005",1,0
Fluviopupa jeanyvesi,Fluviopupa jeanyvesi,species,Mollusca,Gastropoda,Littorinimorpha,Tateidae,Fluviopupa,1342583,795415,7426024,6356748,accepted,NA,FALSE,NA,"Haase, Gargominy & Fontaine, 2005",Fluviopupa jeanyvesi,Fluviopupa jeanyvesi,Fluviopupa jeanyvesi,"Fluviopupa jeanyvesi Haase, Gargominy & Fontaine, 2005",1,0
Fluviopupa raivavaeensis,Fluviopupa raivavaeensis,species,Mollusca,Gastropoda,Littorinimorpha,Tateidae,Fluviopupa,1342582,795416,7470457,6356756,accepted,NA,FALSE,NA,"Haase, Gargominy & Fontaine, 2005",Fluviopupa raivavaeensis,Fluviopupa raivavaeensis,Fluviopupa raivavaeensis,"Fluviopupa raivavaeensis Haase, Gargominy & Fontaine, 2005",1,0
Fruticicola koreana,Fruticicola koreana,species,Mollusca,Gastropoda,Stylommatophora,Camaenidae,Fruticicola,1421596,795419,10096327,5757704,accepted,NA,FALSE,NA,"(L. Pfeiffer, 1850)",Fruticicola koreana,Fruticicola koreana,Fruticicola koreana,"Fruticicola koreana (L.Pfeiffer, 1850)",0,1
Fruticocampylaea narzanensis,Fruticocampylaea narzanensis,species,Mollusca,Gastropoda,Stylommatophora,Hygromiidae,Fruticocampylaea,869964,795422,7567981,5757740,accepted,NA,FALSE,NA,"(Krynicki, 1836)",Fruticocampylaea narzanensis,Fruticocampylaea narzanensis,Fruticocampylaea narzanensis,"Fruticocampylaea narzanensis (Krynicki, 1836)",0,1
Fruticocampylaea daghestana,Fruticocampylaea daghestana,species,Mollusca,Gastropoda,Stylommatophora,Hygromiidae,Fruticocampylaea,869968,795423,7879209,6362042,accepted,NA,FALSE,NA,"(Kobelt, 1877)",Fruticocampylaea daghestana,Fruticocampylaea daghestana,Fruticocampylaea daghestana,"Fruticocampylaea daghestana (Kobelt, 1877)",0,1
Fruticocampylaea tushetica,Fruticocampylaea tushetica,species,Mollusca,Gastropoda,Stylommatophora,Hygromiidae,Fruticocampylaea,869966,795426,7620581,6362043,accepted,NA,FALSE,NA,"Walther, Neiber & Hausdorf, 2016",Fruticocampylaea tushetica,Fruticocampylaea tushetica,Fruticocampylaea tushetica,"Fruticocampylaea tushetica Walther, Neiber & Hausdorf, 2016",0,1
Fruticocampylaea kobensis,Fruticocampylaea kobensis,species,Mollusca,Gastropoda,Stylommatophora,Hygromiidae,Fruticocampylaea,1259592,795425,8857560,7500826,accepted,NA,FALSE,NA,"(O. Boettger, 1883)",Fruticocampylaea kobensis,Fruticocampylaea kobensis,Fruticocampylaea kobensis,"Fruticocampylaea kobensis (O.Boettger, 1883)",0,1
Fruticocampylaea christophori,Fruticocampylaea christophori,species,Mollusca,Gastropoda,Stylommatophora,Hygromiidae,Fruticocampylaea,1259591,795424,10275004,7500825,accepted,NA,FALSE,NA,"(Rosen, 1911)",Fruticocampylaea christophori,Fruticocampylaea christophori,Fruticocampylaea christophori,"Fruticocampylaea christophori (Rosen, 1911)",0,1
Gabbia wykoffi,Gabbia wykoffi,species,Mollusca,Gastropoda,Littorinimorpha,Bithyniidae,Gabbia,1259092,166547,7924935,756641,accepted,NA,FALSE,NA,"(Brandt, 1968)",Gabbia wykoffi,Gabbia wykoffi,Gabbia wykoffi,"Gabbia wykoffi (Brandt, 1968)",1,0
Gabbia erawanensis,Gabbia erawanensis,species,Mollusca,Gastropoda,Littorinimorpha,Bithyniidae,Gabbia,1259441,467624,8362487,756643,accepted,NA,FALSE,NA,"Chitramvong & Upatham, 1990",Gabbia erawanensis,Gabbia erawanensis,Gabbia erawanensis,"Gabbia erawanensis Chitramvong & Upatham, 1989",1,0
Gabbia pygmaea,Gabbia pygmaea,species,Mollusca,Gastropoda,Littorinimorpha,Bithyniidae,Gabbia,1259203,166549,7657258,140195,accepted,NA,FALSE,NA,"(Preston, 1908)",Gabbia pygmaea,Gabbia pygmaea,Gabbia pygmaea,"Gabbia pygmaea (Preston, 1908)",1,0
Galba schirazensis,Galba schirazensis,species,Mollusca,Gastropoda,NA,Lymnaeidae,Galba,716337,795445,7453625,5505604,accepted,NA,FALSE,NA,"(Küster, 1862)",Galba schirazensis,Galba schirazensis,Galba schirazensis,"Galba schirazensis (Küster, 1862)",1,0
Galba neotropica,Galba neotropica,species,Mollusca,Gastropoda,NA,Lymnaeidae,Galba,848617,507758,7414384,977420,accepted,NA,FALSE,NA,"(Bargues, Artigas, Mera y Sierra, Pointier & Mas-Coma, 2007)",Galba neotropica,Galba neotropica,Galba neotropica,"Galba neotropica (Bargues, Artigas, Mera y Sierra, Pointier & Mas-Coma, 2007)",1,0
Geminicoptis rocai,Geminicoptis rocai,species,Mollusca,Gastropoda,Stylommatophora,Urocoptidae,Geminicoptis,1556830,795453,9015307,5973709,accepted,NA,FALSE,NA,"(de la Torre, 1929)",Geminicoptis rocai,Geminicoptis rocai,Geminicoptis rocai,Geminicoptis rocai,0,1
Geomalacus oliveirae,Geomalacus oliveirae,species,Mollusca,Gastropoda,Stylommatophora,Arionidae,Geomalacus,1050243,795454,4564447,7499675,accepted,NA,FALSE,NA,"Simroth, 1891",Geomalacus oliveirae,Geomalacus oliveirae,Geomalacus oliveirae,"Geomalacus oliveirae Simroth, 1891",0,1
Gerstfeldtiancylus renardii,Gerstfeldtiancylus renardii,species,Mollusca,Gastropoda,NA,Acroloxidae,Gerstfeldtiancylus,1027432,795456,7562484,5735015,accepted,NA,FALSE,NA,"(W. Dybowski, 1884)",Gerstfeldtiancylus renardii,Gerstfeldtiancylus renardii,Gerstfeldtiancylus renardii,"Gerstfeldtiancylus renardii (W.Dybowski, 1884)",1,0
Gerstfeldtiancylus roepstorfi,Gerstfeldtiancylus roepstorfi,species,Mollusca,Gastropoda,NA,Acroloxidae,Gerstfeldtiancylus,1027436,795457,8184213,5735014,accepted,NA,FALSE,NA,"Shirokaya, Röpstorf & Sitnikova, 2003",Gerstfeldtiancylus roepstorfi,Gerstfeldtiancylus roepstorfi,Gerstfeldtiancylus roepstorfi,"Gerstfeldtiancylus roepstorfi Shirokaya, Röpstorf & Sitnikova, 2003",1,0
Gibbulinella dewinteri,Gibbulinella dewinteri,species,Mollusca,Gastropoda,Stylommatophora,Streptaxidae,Gibbulinella,1001326,656688,4568215,359660,accepted,NA,FALSE,NA,"Bank, Groh & Ripken, 2002",Gibbulinella dewinteri,Gibbulinella dewinteri,Gibbulinella dewinteri,"Gibbulinella dewinteri Bank, Groh & Ripken, 2002",0,1
Glessula ceylanica,Glessula ceylanica,species,Mollusca,Gastropoda,Stylommatophora,Achatinidae,Glessula,993251,795459,9389026,139556,accepted,NA,FALSE,NA,"(L. Pfeiffer, 1845)",Glessula ceylanica,Glessula ceylanica,Glessula ceylanica,"Glessula ceylanica (L.Pfeiffer, 1845)",0,1
Gocea ohridana,Gocea ohridana,species,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Gocea,1000549,795467,4560574,4158926,accepted,NA,FALSE,NA,"Hadžišče, 1956",Gocea ohridana,Gocea ohridana,Gocea ohridana,"Gocea ohridana Hadžišče, 1956",1,0
Granulomelon grandituberculatum,Granulomelon grandituberculatum,species,Mollusca,Gastropoda,Stylommatophora,Camaenidae,Granulomelon,871031,795475,2294307,2880311,accepted,NA,FALSE,NA,"(Tate, 1894)",Granulomelon grandituberculatum,Granulomelon grandituberculatum,Granulomelon grandituberculatum,"Granulomelon grandituberculatum (Tate, 1894)",0,1
Granulomelon,Granulomelon,genus,Mollusca,Gastropoda,Stylommatophora,Camaenidae,Granulomelon,818288,683550,2294306,150277,accepted,NA,FALSE,sibling_higher,"Iredale, 1933",Granulomelon,Granulomelon,Granulomelon,"Granulomelon Iredale, 1933",0,1
Gyraulus huwaizahensis,Gyraulus huwaizahensis,species,Mollusca,Gastropoda,NA,Planorbidae,Gyraulus,731749,795479,7597927,5735066,accepted,NA,FALSE,NA,"Glôer & Naser, 2007",Gyraulus huwaizahensis,Gyraulus huwaizahensis,Gyraulus huwaizahensis,"Gyraulus huwaizahensis Glôer & Naser, 2007",1,0
Gyraulus luguhuensis,Gyraulus luguhuensis,species,Mollusca,Gastropoda,NA,Planorbidae,Gyraulus,731696,795508,7708641,5735042,accepted,NA,FALSE,NA,"F.-Y. Shu, Köhler, C.-C. Fu & H.-Z. Wang, 2013",Gyraulus luguhuensis,Gyraulus luguhuensis,Gyraulus luguhuensis,"Gyraulus luguhuensis F.-Y.Shu, Köhler, C.-C.Fu & H.-Z.Wang, 2013",1,0
Gyraxis sericata,Gyraxis sericata,species,Mollusca,Gastropoda,Stylommatophora,Urocoptidae,Gyraxis,1484968,795516,9860390,5973713,accepted,NA,FALSE,NA,"Pilsbry, 1903",Gyraxis sericata,Gyraxis sericata,Gyraxis sericata,"Gyraxis sericata Pilsbry, 1903",0,1
Haplotrema vancouverense,Haplotrema vancouverense,species,Mollusca,Gastropoda,Stylommatophora,Haplotrematidae,Haplotrema,1352437,407553,2295989,18264,accepted,NA,FALSE,NA,"(I. Lea, 1838)",Haplotrema vancouverense,Haplotrema vancouverense,Haplotrema vancouverense,"Haplotrema vancouverense (I.Lea, 1838)",0,1
Heleobia deserticola,Heleobia deserticola,species,Mollusca,Gastropoda,Littorinimorpha,Cochliopidae,Heleobia,835441,795521,7697488,5973396,accepted,NA,FALSE,NA,"Collado, 2015",Heleobia deserticola,Heleobia deserticola,Heleobia deserticola,"Heleobia deserticola Collado, 2015",1,0
Heleobia transitoria,Heleobia transitoria,species,Mollusca,Gastropoda,Littorinimorpha,Cochliopidae,Heleobia,1317032,795520,10351076,5720299,accepted,NA,FALSE,NA,"(Biese, 1947)",Heleobia transitoria,Heleobia transitoria,Heleobia transitoria,"Heleobia transitoria (Biese, 1947)",1,0
Helix ligata,Helix ligata,species,Mollusca,Gastropoda,Stylommatophora,Helicidae,Helix,1050277,651409,9063845,5517764,accepted,NA,FALSE,sibling_higher,"O. F. Müller, 1774",Helix ligata,Helix ligata,Helix ligata,"Helix ligata O.F.Müller, 1774",0,1
Helix,Helix,genus,Mollusca,Gastropoda,Stylommatophora,Helicidae,Helix,153970,5992,9816371,349698,accepted,NA,FALSE,NA,"Linnaeus, 1758",Helix,Helix (genus in Opisthokonta),Helix,"Helix Linnaeus, 1758",0,1
Helix melanostoma,Helix melanostoma,species,Mollusca,Gastropoda,Stylommatophora,Helicidae,Helix,1050280,795528,8029136,5757788,accepted,NA,FALSE,sibling_higher,"Draparnaud, 1801",Helix melanostoma,Helix melanostoma,Helix melanostoma,"Helix melanostoma Draparnaud, 1801",0,1
Helix lucorum,Helix lucorum,species,Mollusca,Gastropoda,Stylommatophora,Helicidae,Helix,1050278,446932,7753992,182108,accepted,NA,FALSE,sibling_higher,"Linnaeus, 1758",Helix lucorum,Helix lucorum,Helix lucorum,"Helix lucorum Linnaeus, 1758",0,1
Hemistomia cockerelli,Hemistomia cockerelli,species,Mollusca,Gastropoda,Littorinimorpha,Tateidae,Hemistomia,853850,717675,8080016,5735366,accepted,NA,FALSE,NA,"Haase & Bouchet, 1998",Hemistomia cockerelli,Hemistomia cockerelli,Hemistomia cockerelli,"Hemistomia cockerelli Haase & Bouchet, 1998",1,0
Hemistomia fabrorum,Hemistomia fabrorum,species,Mollusca,Gastropoda,Littorinimorpha,Tateidae,Hemistomia,853852,717677,7644197,5735367,accepted,NA,FALSE,NA,"Haase & Bouchet, 1998",Hemistomia fabrorum,Hemistomia fabrorum,Hemistomia fabrorum,"Hemistomia fabrorum Haase & Bouchet, 1998",1,0
Hydrobioides nassa,Hydrobioides nassa,species,Mollusca,Gastropoda,Littorinimorpha,Bithyniidae,Hydrobioides,1259422,467626,8017827,6356229,accepted,NA,FALSE,NA,"(Theobald, 1866)",Hydrobioides nassa,Hydrobioides nassa,Hydrobioides nassa,"Hydrobioides nassa (Theobald, 1866)",1,0
Hygromia cinctella,Hygromia cinctella,species,Mollusca,Gastropoda,Stylommatophora,Hygromiidae,Hygromia,882572,212332,4565039,34609,accepted,NA,FALSE,NA,"(Draparnaud, 1801)",Hygromia cinctella,Hygromia cinctella,Hygromia cinctella,"Hygromia cinctella (Draparnaud, 1801)",0,1
Idiostemma alfredoi,Idiostemma alfredoi,species,Mollusca,Gastropoda,Stylommatophora,Urocoptidae,Idiostemma,1547871,795543,9014528,5973715,accepted,NA,FALSE,NA,"Franke & Fernández, 2007",Idiostemma alfredoi,Idiostemma alfredoi,Idiostemma alfredoi,Idiostemma alfredoi,0,1
Indoplanorbis exustus,Indoplanorbis exustus,species,Mollusca,Gastropoda,NA,Bulinidae,Indoplanorbis,716351,29494,5784747,454549,accepted,NA,FALSE,NA,"(Deshayes, 1833)",Indoplanorbis exustus,Indoplanorbis exustus,Indoplanorbis exustus,"Indoplanorbis exustus (Deshayes, 1833)",1,0
Intermaria kermanshahensis,Intermaria kermanshahensis,species,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Intermaria,881452,795550,8542690,5500732,accepted,NA,FALSE,incertae_sedis_inherited,"(Glöer & Pešić, 2009)",Intermaria kermanshahensis,Intermaria kermanshahensis,Intermaria kermanshahensis,"Intermaria kermanshahensis (Glöer & Pešić, 2009)",1,0
Intermaria zagrosensis,Intermaria zagrosensis,species,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Intermaria,881451,795549,8527151,5505501,accepted,NA,FALSE,incertae_sedis_inherited,"(Glöer & Pešić, 2009)",Intermaria zagrosensis,Intermaria zagrosensis,Intermaria zagrosensis,"Intermaria zagrosensis (Glöer & Pešić, 2009)",1,0
Isognomostoma isognomostomos,Isognomostoma isognomostomos,species,Mollusca,Gastropoda,Stylommatophora,Helicidae,Isognomostoma,1002228,78991,4563489,669644,accepted,NA,FALSE,NA,"(Schröter, 1784)",Isognomostoma isognomostomos,Isognomostoma isognomostomos,Isognomostoma isognomostomos,"Isognomostoma isognomostomos (Schröter, 1784)",0,1
Juga nigrina,Juga nigrina,species,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Semisulcospiridae,Juga,1117159,165660,2301994,409472,accepted,NA,FALSE,hidden_inherited,"(I. Lea, 1856)",Juga nigrina,Juga nigrina,Juga nigrina,"Juga nigrina (I.Lea, 1856)",1,0
Juga silicula,Juga silicula,species,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Semisulcospiridae,Juga,741142,165663,2301981,754758,accepted,NA,FALSE,hidden_inherited,"(A. Gould, 1847)",Juga silicula,Juga silicula,Juga silicula,"Juga silicula (A.Gould, 1847)",1,0
Koreoleptoxis amurensis,Koreoleptoxis amurensis,species,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Semisulcospiridae,Koreoleptoxis,999800,795558,9608717,1025925,accepted,NA,FALSE,hidden_inherited,"(Gerstfeldt, 1859)",Koreoleptoxis amurensis,Koreoleptoxis amurensis,Koreoleptoxis amurensis,"Koreoleptoxis amurensis (Gerstfeldt, 1859)",1,0
Ladislavella elodes,Ladislavella elodes,species,Mollusca,Gastropoda,NA,Lymnaeidae,Ladislavella,717173,795559,7823183,570573,accepted,NA,FALSE,sibling_higher,"(Say, 1821)",Ladislavella elodes,Ladislavella elodes,Ladislavella elodes,"Ladislavella elodes (Say, 1821)",1,0
Lamellidens generosus,Lamellidens generosus,species,Mollusca,Bivalvia,Unionida,Unionidae,Lamellidens,1035802,667839,5782391,460434,accepted,NA,FALSE,sibling_higher,"(A. Gould, 1847)",Lamellidens generosus,Lamellidens generosus,Lamellidens generosus,"Lamellidens generosus (A.Gould, 1847)",1,0
Lamprotula caveata,Lamprotula caveata,species,Mollusca,Bivalvia,Unionida,Unionidae,Lamprotula,1289748,717699,7788172,578083,accepted,NA,FALSE,NA,"(Heude, 1877)",Lamprotula caveata,Lamprotula caveata,Lamprotula caveata,"Lamprotula caveata (Heude, 1877)",1,0
Leptinaria lamellata,Leptinaria unilamellata,species,Mollusca,Gastropoda,Stylommatophora,Achatinidae,Leptinaria,1064332,795569,8196587,7499471,junior subjective synonym,NA,FALSE,NA,"(d'Orbigny, 1838)",Leptinaria unilamellata,Leptinaria lamellata,Leptinaria lamellata,"Leptinaria lamellata (Potiez & Michaud, 1838)",0,1
Liparotes obesula,Liparotes obesula,species,Mollusca,Gastropoda,Stylommatophora,Urocoptidae,Liparotes,1485042,795578,10312857,5973719,accepted,NA,FALSE,NA,"(Pilsbry, 1904)",Liparotes obesula,Liparotes obesula,Liparotes obesula,"Liparotes obesula (Pilsbry, 1904)",0,1
Lyhnidia gjorgjevici,Lyhnidia gjorgjevici,species,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Lyhnidia,1000604,795583,4560772,4158913,accepted,NA,FALSE,NA,"Hadžišče, 1959",Lyhnidia gjorgjevici,Lyhnidia gjorgjevici,Lyhnidia gjorgjevici,"Lyhnidia gjorgjevici Hadžišče, 1959",1,0
Lymnaea tumrokensis,Ladislavella catascopium tumrokensis,species,Mollusca,Gastropoda,NA,Lymnaeidae,Lymnaea,1026189,795584,9536559,5973758,unaccepted,original combination,FALSE,NA,"(Kruglov & Starobogatov, 1985)",Ladislavella catascopium tumrokensis,Lymnaea tumrokensis,Lymnaea tumrokensis,"Lymnaea tumrokensis Kruglov & Starobogatov, 1985",1,0
Lymnaea viator,Galba viator,species,Mollusca,Gastropoda,NA,Lymnaeidae,Lymnaea,1065075,796129,7723525,666252,unaccepted,new combination,FALSE,NA,"(d'Orbigny, 1835)",Galba viator,Lymnaea viator,Lymnaea viator,"Lymnaea viator (d'Orbigny, 1835)",1,0
Macrogastra plicatula,Macrogastra plicatula,species,Mollusca,Gastropoda,Stylommatophora,Clausiliidae,Macrogastra,1050411,312025,4570937,262546,accepted,NA,FALSE,NA,"(Draparnaud, 1801)",Macrogastra plicatula,Macrogastra plicatula,Macrogastra plicatula,"Macrogastra plicatula (Draparnaud, 1801)",0,1
Macrogastra ventricosa,Macrogastra ventricosa,species,Mollusca,Gastropoda,Stylommatophora,Clausiliidae,Macrogastra,1050403,312026,4570873,4957635,accepted,NA,FALSE,NA,"(Draparnaud, 1801)",Macrogastra ventricosa,Macrogastra ventricosa,Macrogastra ventricosa,"Macrogastra ventricosa (Draparnaud, 1801)",0,1
Malaprespia albanica,Malaprespia albanica,species,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Malaprespia,1000609,795591,4560491,2919614,accepted,NA,FALSE,NA,"Radoman, 1973",Malaprespia albanica,Malaprespia albanica,Malaprespia albanica,"Malaprespia albanica Radoman, 1973",1,0
Margaritifera laevis,Margaritifera laevis,species,Mollusca,Bivalvia,Unionida,Margaritiferidae,Margaritifera,866255,28162,7544851,729816,accepted,NA,FALSE,NA,"(F. Haas, 1910)",Margaritifera laevis,Margaritifera laevis,Margaritifera laevis,"Margaritifera laevis (F.Haas, 1910)",1,0
Margaritifera homsensis,Pseudunio homsensis,species,Mollusca,Bivalvia,Unionida,Margaritiferidae,Margaritifera,1259935,795597,8845865,7492981,unaccepted,NA,FALSE,NA,"(I. Lea, 1865)",Pseudunio homsensis,Margaritifera homsensis,Margaritifera homsensis,"Margaritifera homsensis (I.Lea, 1865)",1,0
Megalobulimus sanctipauli,Megalobulimus sanctaepauli,species,Mollusca,Gastropoda,Stylommatophora,Strophocheilidae,Megalobulimus,1539362,795600,9865075,6362372,unaccepted,unjustified emendation or subsequent misspelling,FALSE,NA,"(Ihering & Pilsbry, 1900)",Megalobulimus sanctaepauli,Megalobulimus sanctipauli,Megalobulimus sanctipauli,"Megalobulimus sanctipauli (Ihering & Pilsbry, 1900)",0,1
Megalobulimus abbreviatus,Megalobulimus abbreviatus,species,Mollusca,Gastropoda,Stylommatophora,Strophocheilidae,Megalobulimus,1448756,795601,10179149,6362369,accepted,NA,FALSE,NA,"(Bequaert, 1948)",Megalobulimus abbreviatus,Megalobulimus abbreviatus,Megalobulimus abbreviatus,"Megalobulimus abbreviatus (Bequaert, 1948)",0,1
Melanopsis praemorsa,Melanopsis praemorsa,species,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Melanopsidae,Melanopsis,822252,795603,7372001,722374,accepted,NA,FALSE,"hidden_inherited, sibling_higher","(Linnaeus, 1758)",Melanopsis praemorsa,Melanopsis praemorsa,Melanopsis praemorsa,"Melanopsis praemorsa (Linnaeus, 1758)",1,0
Microceramus pontificus,Microceramus pontificus,species,Mollusca,Gastropoda,Stylommatophora,Urocoptidae,Microceramus,1352321,324552,2297233,585453,accepted,NA,FALSE,NA,"(A. Gould, 1848)",Microceramus pontificus,Microceramus pontificus,Microceramus pontificus,"Microceramus pontificus (A.Gould, 1848)",0,1
Monacha cartusiana,Monacha cartusiana,species,Mollusca,Gastropoda,Stylommatophora,Hygromiidae,Monacha,426408,404685,5780449,555550,accepted,NA,FALSE,sibling_higher,"(O. F. Müller, 1774)",Monacha cartusiana,Monacha cartusiana,Monacha cartusiana,"Monacha cartusiana (O.F.Müller, 1774)",0,1
Monacha claustralis,Monacha claustralis,species,Mollusca,Gastropoda,Stylommatophora,Hygromiidae,Monacha,1049695,795608,9059312,5757747,accepted,NA,FALSE,sibling_higher,"(Menke, 1828)",Monacha claustralis,Monacha claustralis,Monacha claustralis,"Monacha claustralis (Menke, 1828)",0,1
Monacha cantiana,Monacha cantiana,species,Mollusca,Gastropoda,Stylommatophora,Hygromiidae,Monacha,1049692,28618,5191102,418255,accepted,NA,FALSE,sibling_higher,"(Montagu, 1803)",Monacha cantiana,Monacha cantiana,Monacha cantiana,"Monacha cantiana (Montagu, 1803)",0,1
Montanomelon reynoldsi,Montanomelon reynoldsi,species,Mollusca,Gastropoda,Stylommatophora,Camaenidae,Montanomelon,1149222,795611,2295213,44826,accepted,NA,FALSE,NA,"Solem, 1993",Montanomelon reynoldsi,Montanomelon reynoldsi,Montanomelon reynoldsi,"Montanomelon reynoldsi Solem, 1993",0,1
Montenegrina zilchi,Montenegrina zilchi,species,Mollusca,Gastropoda,Stylommatophora,Clausiliidae,Montenegrina,1000869,795616,4570836,7500018,accepted,NA,FALSE,NA,"H. Nordsieck, 1974",Montenegrina zilchi,Montenegrina zilchi,Montenegrina zilchi,"Montenegrina zilchi H.Nordsieck, 1974",0,1
Montenegrina janinensis,Montenegrina janinensis,species,Mollusca,Gastropoda,Stylommatophora,Clausiliidae,Montenegrina,1001947,795614,4570807,7499943,accepted,NA,FALSE,NA,"(Mousson, 1859)",Montenegrina janinensis,Montenegrina janinensis,Montenegrina janinensis,"Montenegrina janinensis (Mousson, 1859)",0,1
Montenegrina stankovici,Montenegrina stankovici,species,Mollusca,Gastropoda,Stylommatophora,Clausiliidae,Montenegrina,1001948,795612,4570764,7500006,accepted,NA,FALSE,NA,"(Urbański, 1960)",Montenegrina stankovici,Montenegrina stankovici,Montenegrina stankovici,"Montenegrina stankovici (Urbański, 1960)",0,1
Montenegrina minuscula,Montenegrina minuscula,species,Mollusca,Gastropoda,Stylommatophora,Clausiliidae,Montenegrina,1000866,795613,4570776,7499955,accepted,NA,FALSE,NA,"Erőss & Szekeres, 2006",Montenegrina minuscula,Montenegrina minuscula,Montenegrina minuscula,"Montenegrina minuscula Erőss & Szekeres, 2006",0,1
Montenegrina soosi,Montenegrina soosi,species,Mollusca,Gastropoda,Stylommatophora,Clausiliidae,Montenegrina,1000867,795615,9485028,7500003,accepted,NA,FALSE,NA,"Erőss & Szekeres, 2006",Montenegrina soosi,Montenegrina soosi,Montenegrina soosi,"Montenegrina soosi Erőss & Szekeres, 2006",0,1
Montenegrina subcristata,Montenegrina subcristata,species,Mollusca,Gastropoda,Stylommatophora,Clausiliidae,Montenegrina,1001949,795617,4570826,7500011,accepted,NA,FALSE,NA,"(Küster, 1847)",Montenegrina subcristata,Montenegrina subcristata,Montenegrina subcristata,"Montenegrina subcristata (Küster, 1847)",0,1
Mychostoma album,Mychostoma album,species,Mollusca,Gastropoda,Stylommatophora,Urocoptidae,Mychostoma,1496983,795626,8731200,5973720,accepted,NA,FALSE,NA,"(C. B. Adams, 1849)",Mychostoma album,Mychostoma album,Mychostoma album,"Mychostoma album (C.B.Adams, 1849)",0,1
Ohridohauffenia sanctinaumi,Ohridohauffenia sanctinaumi,species,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Ohridohauffenia,1001666,795713,4560751,4159089,accepted,NA,FALSE,NA,"(Radoman, 1964)",Ohridohauffenia sanctinaumi,Ohridohauffenia sanctinaumi,Ohridohauffenia sanctinaumi,"Ohridohauffenia sanctinaumi (Radoman, 1964)",1,0
Ohridohauffenia depressa,Ohridohauffenia depressa,species,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Ohridohauffenia,1001662,795711,4560742,4159084,accepted,NA,FALSE,NA,"(Radoman, 1957)",Ohridohauffenia depressa,Ohridohauffenia depressa,Ohridohauffenia depressa,"Ohridohauffenia depressa (Radoman, 1957)",1,0
Ohridohauffenia minuta,Ohridohauffenia minuta,species,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Ohridohauffenia,1001664,795712,4560748,4159086,accepted,NA,FALSE,NA,"(Radoman, 1955)",Ohridohauffenia minuta,Ohridohauffenia minuta,Ohridohauffenia minuta,"Ohridohauffenia minuta (Radoman, 1955)",1,0
Ohridohoratia carinata,Ohridohoratia carinata,species,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Ohridohoratia,1421401,795715,4560564,4158998,accepted,NA,FALSE,NA,"(Radoman, 1957)",Ohridohoratia carinata,Ohridohoratia carinata,Ohridohoratia carinata,"Ohridohoratia carinata (Radoman, 1957)",1,0
