species,phylum,class,obisgbif,hakaisample,verifiedbc
Corambe steinbergae,Mollusca,Gastropoda,1,0,0
Laqueus californicus,Brachiopoda,Rhynchonellata,1,0,0
Obelia longissima,Cnidaria,Hydrozoa,1,1,1
Onuphis iridescens,Annelida,Polychaeta,1,0,0
Diosaccus spinatus,Arthropoda,Copepoda,1,0,0
Distaplia smithi,Chordata,Ascidiacea,1,0,0
Sertularella rugosa,Cnidaria,Hydrozoa,1,1,1
Chaperiopsis patula,Bryozoa,Gymnolaemata,1,0,0
Protomedeia prudens,Arthropoda,Malacostraca,1,0,0
Syllis stewarti,Annelida,Polychaeta,1,1,1
Gnathopleustes simplex,Arthropoda,Malacostraca,1,1,1
Rhodine bitorquata,Annelida,Polychaeta,1,0,0
Tectura rosacea,Mollusca,Gastropoda,1,0,0
Crisularia pacifica,Bryozoa,Gymnolaemata,1,0,0
Columbaora cyclocoxa,Arthropoda,Malacostraca,1,0,0
Tubulipora pacifica,Bryozoa,Stenolaemata,1,0,0
Eualus suckleyi,Arthropoda,Malacostraca,1,0,0
Philobrya setosa,Mollusca,Bivalvia,1,0,0
Paramoera mohri,Arthropoda,Malacostraca,1,0,0
Aoroides columbiae,Arthropoda,Malacostraca,1,0,0
Gammaropsis thompsoni,Arthropoda,Malacostraca,1,1,1
Travisia pupa,Annelida,Polychaeta,1,0,0
Sigambra bassi,Annelida,Polychaeta,1,0,0
Saxidomus nuttalli,Mollusca,Bivalvia,1,1,1
Prionospio lighti,Annelida,Polychaeta,1,1,1
Saccella hindsii,Mollusca,Bivalvia,1,0,0
Euherdmania claviformis,Chordata,Ascidiacea,1,0,0
Rhepoxynius boreovariatus,Arthropoda,Malacostraca,1,0,0
Licornia diegensis,Bryozoa,Gymnolaemata,1,0,0
Lophopanopeus diegensis,Arthropoda,Malacostraca,1,0,0
Ericthonius brasiliensis,Arthropoda,Malacostraca,1,1,1
Porella porifera,Bryozoa,Gymnolaemata,1,0,0
Tellina nuculoides,Mollusca,Bivalvia,1,0,0
Pinnixa scamit,Arthropoda,Malacostraca,1,0,0
Eumida longicornuta,Annelida,Polychaeta,1,0,0
Lumbrineris cruzensis,Annelida,Polychaeta,1,0,0
Diplosolen obelium,Bryozoa,Stenolaemata,1,0,0
Argeia pugettensis,Arthropoda,Malacostraca,1,1,1
Acteocina cerealis,Mollusca,Gastropoda,1,0,0
Astarte elliptica,Mollusca,Bivalvia,1,0,0
Polycheria osborni,Arthropoda,Malacostraca,1,0,0
Margarites salmoneus,Mollusca,Gastropoda,1,0,0
Diastylopsis dawsoni,Arthropoda,Malacostraca,1,0,0
Aoroides spinosus,Arthropoda,Malacostraca,1,0,0
Tegella horrida,Bryozoa,Gymnolaemata,1,0,0
Eudistoma ritteri,Chordata,Ascidiacea,1,1,1
Homalopoma luridum,Mollusca,Gastropoda,1,1,1
Puncturella cooperi,Mollusca,Gastropoda,1,0,0
Pentamera pediparva,Echinodermata,Holothuroidea,1,1,1
Leptochiton rugatus,Mollusca,Polyplacophora,1,0,0
Astarte alaskensis,Mollusca,Bivalvia,1,0,0
Nicomache personata,Annelida,Polychaeta,1,0,0
Rocinela tridens,Arthropoda,Malacostraca,1,0,0
Xingyurella turgida,Cnidaria,Hydrozoa,1,0,0
Adontorhina cyclia,Mollusca,Bivalvia,1,0,0
Chirimia similis,Annelida,Polychaeta,1,0,0
Americorophium brevis,Arthropoda,Malacostraca,1,0,0
Capitella capitata,Annelida,Polychaeta,1,1,1
Diastylis pellucida,Arthropoda,Malacostraca,1,0,0
Symplectoscyphus tricuspidatus,Cnidaria,Hydrozoa,1,1,1
Pagurus hartae,Arthropoda,Malacostraca,1,1,1
Ectopleura larynx,Cnidaria,Hydrozoa,1,1,1
Idotea ochotensis,Arthropoda,Malacostraca,1,0,0
Maera similis,Arthropoda,Malacostraca,1,0,0
Clymenella zonalis,Annelida,Polychaeta,1,0,0
Ampharete acutifrons,Annelida,Polychaeta,1,0,0
Haliclystus californiensis,Cnidaria,Staurozoa,1,1,1
Briarosaccus tenellus,Arthropoda,Thecostraca,1,0,0
Spio cirrifera,Annelida,Polychaeta,1,0,0
Aphelochaeta glandaria,Annelida,Polychaeta,1,0,0
Spiophanes norrisi,Annelida,Polychaeta,1,1,1
Lepeophtheirus parvicruris,Arthropoda,Copepoda,1,0,0
Heptacyclus virgatus,Annelida,Clitellata,1,0,0
Macoma elimata,Mollusca,Bivalvia,1,0,0
Scalibregma californicum,Annelida,Polychaeta,1,0,0
Scintillona bellerophon,Mollusca,Bivalvia,1,1,1
Hyperia medusarum,Arthropoda,Malacostraca,1,0,0
Maldane sarsi,Annelida,Polychaeta,1,0,0
Amphipholis squamata,Echinodermata,Ophiuroidea,1,1,1
Eperetmus typus,Cnidaria,Hydrozoa,1,0,0
Styela truncata,Chordata,Ascidiacea,1,1,1
Caprella verrucosa,Arthropoda,Malacostraca,1,1,1
Eusyllis lamelligera,Annelida,Polychaeta,1,0,0
Macoma golikovi,Mollusca,Bivalvia,1,0,0
Chondracanthus irregularis,Arthropoda,Copepoda,1,0,0
Trachypleustes trevori,Arthropoda,Malacostraca,1,0,0
Dyopedos arcticus,Arthropoda,Malacostraca,1,0,0
Phoxichilidium femoratum,Arthropoda,Pycnogonida,1,0,0
Parasmittina collifera,Bryozoa,Gymnolaemata,1,0,0
Antarctonemertes phyllospadicola,Nemertea,Hoplonemertea,1,0,0
Lissocrangon stylirostris,Arthropoda,Malacostraca,1,0,0
Abietinaria abietina,Cnidaria,Hydrozoa,1,0,0
Beania columbiana,Bryozoa,Gymnolaemata,1,0,0
Paracalliopiella pratti,Arthropoda,Malacostraca,1,0,0
Nereis procera,Annelida,Polychaeta,1,1,1
Eohaustorius washingtonianus,Arthropoda,Malacostraca,1,1,1
Boreotrophon clathratus,Mollusca,Gastropoda,1,0,0
Opisa tridentata,Arthropoda,Malacostraca,1,0,0
Astarte compacta,Mollusca,Bivalvia,1,0,0
Chaetoderma argenteum,Mollusca,Caudofoveata,1,0,0
Sertularella cervicula,Cnidaria,Hydrozoa,1,0,0
Trichydra pudica,Cnidaria,Hydrozoa,1,0,0
Heterophoxus conlanae,Arthropoda,Malacostraca,1,0,0
Eudorella emarginata,Arthropoda,Malacostraca,1,0,0
Amonardia perturbata,Arthropoda,Copepoda,1,0,0
Notomastus latericeus,Annelida,Polychaeta,1,0,0
Pseudocnus curatus,Echinodermata,Holothuroidea,1,1,1
Nipponnemertes bimaculata,Nemertea,Hoplonemertea,1,1,1
Mactromeris polynyma,Mollusca,Bivalvia,1,0,0
Nereis eakini,Annelida,Polychaeta,1,0,0
Archaeomysis grebnitzkii,Arthropoda,Malacostraca,1,0,0
Alcyonidium mamillatum,Bryozoa,Gymnolaemata,1,0,0
Caprella californica,Arthropoda,Malacostraca,1,1,1
Urticina eques,Cnidaria,Anthozoa,1,0,0
Lepidozona retiporosa,Mollusca,Polyplacophora,1,0,0
Rocinela angustata,Arthropoda,Malacostraca,1,0,0
Crisularia cucullifera,Bryozoa,Gymnolaemata,1,0,0
Caprella irregularis,Arthropoda,Malacostraca,1,1,1
Thelepus japonicus,Annelida,Polychaeta,1,0,0
Polydora limicola,Annelida,Polychaeta,1,0,0
Eobrolgus chumashi,Arthropoda,Malacostraca,1,0,0
Ampharete labrops,Annelida,Polychaeta,1,0,0
Americorophium spinicorne,Arthropoda,Malacostraca,1,0,0
Microporina articulata,Bryozoa,Gymnolaemata,1,1,1
Amphiodia trychna,Echinodermata,Ophiuroidea,1,0,0
Notocomplana sanguinea,Platyhelminthes,0,1,0,0
Sylon hippolytes,Arthropoda,Thecostraca,1,0,0
Ritterella pulchra,Chordata,Ascidiacea,1,0,0
Thorlaksonius grandirostris,Arthropoda,Malacostraca,1,0,0
Saccella cellulita,Mollusca,Bivalvia,1,0,0
Amage scutata,Annelida,Polychaeta,1,0,0
Dulichiella appendiculata,Arthropoda,Malacostraca,1,0,0
Eudorellopsis longirostris,Arthropoda,Malacostraca,1,0,0
Paraphoxus communis,Arthropoda,Malacostraca,1,0,0
Rutiderma lomae,Arthropoda,Ostracoda,1,0,0
Pacifacanthomysis nephrophthalma,Arthropoda,Malacostraca,1,1,1
Doto kya,Mollusca,Gastropoda,1,0,0
Rhynchospio arenincola,Annelida,Polychaeta,1,1,1
Pterocirrus parvoseta,Annelida,Polychaeta,1,1,1
Micronephthys cornuta,Annelida,Polychaeta,1,0,0
Pontogeneia rostrata,Arthropoda,Malacostraca,1,1,1
Micropodarke dubia,Annelida,Polychaeta,1,1,1
Hemiarthrus abdominalis,Arthropoda,Malacostraca,1,0,0
Watersipora subatra,Bryozoa,Gymnolaemata,1,0,0
Cryptodius kelleri,Arthropoda,Malacostraca,1,0,0
Rhynocrangon alata,Arthropoda,Malacostraca,1,0,0
Cheilonereis cyclurus,Annelida,Polychaeta,1,1,1
Neotrypaea gigas,Arthropoda,Malacostraca,1,0,0
Cecina manchurica,Mollusca,Gastropoda,1,0,0
Ophelina acuminata,Annelida,Polychaeta,1,0,0
Protocotyle grisea,Platyhelminthes,Monogenea,1,0,0
Nucella emarginata,Mollusca,Gastropoda,1,0,0
Cheirimedeia macrocarpa,Arthropoda,Malacostraca,1,0,0
Eobrolgus spinosus,Arthropoda,Malacostraca,1,0,0
Pericladium mirabilis,Cnidaria,Hydrozoa,1,0,0
Disporella novaehollandiae,Bryozoa,Stenolaemata,1,0,0
Axiothella rubrocincta,Annelida,Polychaeta,1,1,1
Rhizogeton nudus,Cnidaria,Hydrozoa,1,0,0
Lagenicella punctulata,Bryozoa,Gymnolaemata,1,0,0
Sthenelais berkeleyi,Annelida,Polychaeta,1,0,0
Terebellides californica,Annelida,Polychaeta,1,0,0
Acromegalomma splendidum,Annelida,Polychaeta,1,0,0
Bougainvillia principis,Cnidaria,Hydrozoa,1,0,0
Halecium labrosum,Cnidaria,Hydrozoa,1,1,1
Angustassiminea californica,Mollusca,Gastropoda,1,0,0
Pandora bilirata,Mollusca,Bivalvia,1,1,1
Anoplodactylus viridintestinalis,Arthropoda,Pycnogonida,1,0,0
Micropleustes nautilus,Arthropoda,Malacostraca,1,1,1
Halecium corrugatum,Cnidaria,Hydrozoa,1,1,1
Bugulina pugeti,Bryozoa,Gymnolaemata,1,0,0
Sunamphitoe tea,Arthropoda,Malacostraca,1,0,0
Loxosoma davenporti,Entoprocta,0,1,0,0
Clytia gracilis,Cnidaria,Hydrozoa,1,1,1
Littorina saxatilis,Mollusca,Gastropoda,1,0,0
Marsenina zadei,Mollusca,Gastropoda,1,0,0
Desdimelita desdichada,Arthropoda,Malacostraca,1,0,0
Cardiomya pectinata,Mollusca,Bivalvia,1,1,1
Diastylis santamariensis,Arthropoda,Malacostraca,1,0,0
Exogone dwisula,Annelida,Polychaeta,1,0,0
Rocinela belliceps,Arthropoda,Malacostraca,1,0,0
Podarkeopsis glabrus,Annelida,Polychaeta,1,0,0
Americhelidium rectipalmum,Arthropoda,Malacostraca,1,0,0
Glycera americana,Annelida,Polychaeta,1,1,1
Notophyllum tectum,Annelida,Polychaeta,1,0,0
Batillaria zonalis,Mollusca,Gastropoda,1,0,0
Spiophanes berkeleyorum,Annelida,Polychaeta,1,0,0
Sthenelais tertiaglabra,Annelida,Polychaeta,1,0,0
Celleporina ventricosa,Bryozoa,Gymnolaemata,1,0,0
Lumbrineris inflata,Annelida,Polychaeta,1,1,1
Semibalanus balanoides,Arthropoda,Thecostraca,1,1,1
Nicomache lumbricalis,Annelida,Polychaeta,1,0,0
Elthusa californica,Arthropoda,Malacostraca,1,0,0
Maera danae,Arthropoda,Malacostraca,1,0,0
Ampelisca careyi,Arthropoda,Malacostraca,1,0,0
Narella bowersi,Cnidaria,Anthozoa,1,0,0
Astarte esquimalti,Mollusca,Bivalvia,1,0,0
Phyllodoce hartmanae,Annelida,Polychaeta,1,1,1
Euphilomedes producta,Arthropoda,Ostracoda,1,0,0
Callithaca tenerrima,Mollusca,Bivalvia,1,0,0
Ianiropsis derjugini,Arthropoda,Malacostraca,1,1,1
Grammaria immersa,Cnidaria,Hydrozoa,1,1,1
Meiomenia swedmarki,Mollusca,Solenogastres,1,0,0
Pterocirrus montereyensis,Annelida,Polychaeta,1,0,0
Hyperoche medusarum,Arthropoda,Malacostraca,1,0,0
Janiralata occidentalis,Arthropoda,Malacostraca,1,1,1
Mitrella tuberosa,Mollusca,Gastropoda,1,1,1
Kurtiella compressa,Mollusca,Bivalvia,1,0,0
Platyodon cancellatus,Mollusca,Bivalvia,1,0,0
Gnathopleustes serratus,Arthropoda,Malacostraca,1,0,0
Lumbrineris californiensis,Annelida,Polychaeta,1,1,1
Betaeus setosus,Arthropoda,Malacostraca,1,1,1
Eulalia californiensis,Annelida,Polychaeta,1,1,1
Eudorella pacifica,Arthropoda,Malacostraca,1,0,0
Notophyllum imbricatum,Annelida,Polychaeta,1,1,1
Heterophoxus ellisi,Arthropoda,Malacostraca,1,0,0
Pancolus californiensis,Arthropoda,Malacostraca,1,1,1
Paradialychone ecaudata,Annelida,Polychaeta,1,1,1
Ianiropsis serricaudis,Arthropoda,Malacostraca,1,1,1
Lacuna marmorata,Mollusca,Gastropoda,1,0,0
Phoronis ovalis,Phoronida,0,1,0,0
Microporella neocribroides,Bryozoa,Gymnolaemata,1,0,0
Aristias veleronis,Arthropoda,Malacostraca,1,0,0
Calycella syringa,Cnidaria,Hydrozoa,1,0,0
Heptacarpus taylori,Arthropoda,Malacostraca,1,0,0
Pentidotea schmitti,Arthropoda,Malacostraca,1,0,0
Hydrallmania distans,Cnidaria,Hydrozoa,1,0,0
Boreotrophon multicostatus,Mollusca,Gastropoda,1,0,0
Leptostylis villosa,Arthropoda,Malacostraca,1,0,0
Tritella pilimana,Arthropoda,Malacostraca,1,0,0
Fissurellidea bimaculata,Mollusca,Gastropoda,1,1,1
Sarsia princeps,Cnidaria,Hydrozoa,1,0,0
Lottia fenestrata,Mollusca,Gastropoda,1,0,0
Dipleurosoma typicum,Cnidaria,Hydrozoa,1,0,0
Scionella japonica,Annelida,Polychaeta,1,0,0
Megamoera subtener,Arthropoda,Malacostraca,1,1,1
Nephtys caecoides,Annelida,Polychaeta,1,0,0
Yoldia myalis,Mollusca,Bivalvia,1,0,0
Pleusirus secorrus,Arthropoda,Malacostraca,1,0,0
Koroga megalops,Arthropoda,Malacostraca,1,0,0
Smittina landsborovii,Bryozoa,Gymnolaemata,1,0,0
Locustogammarus levingsi,Arthropoda,Malacostraca,1,1,1
Levinsenia gracilis,Annelida,Polychaeta,1,0,0
Ampithoe simulans,Arthropoda,Malacostraca,1,0,0
Caecum crebricinctum,Mollusca,Gastropoda,1,1,1
Circeis armoricana,Annelida,Polychaeta,1,1,1
Lirobittium munitum,Mollusca,Gastropoda,1,1,1
Nucella lima,Mollusca,Gastropoda,1,0,0
Celleporaria brunnea,Bryozoa,Gymnolaemata,1,0,0
Mitrocomella polydiademata,Cnidaria,Hydrozoa,1,0,0
Metaphoxus frequens,Arthropoda,Malacostraca,1,0,0
Achelia chelata,Arthropoda,Pycnogonida,1,0,0
Trochochaeta multisetosa,Annelida,Polychaeta,1,0,0
Lafoea adnata,Cnidaria,Hydrozoa,1,0,0
Heptacarpus carinatus,Arthropoda,Malacostraca,1,0,0
Bathymedon pumilus,Arthropoda,Malacostraca,1,0,0
Microjassa barnardi,Arthropoda,Malacostraca,1,1,1
Cryptolepas rhachianecti,Arthropoda,Thecostraca,1,0,0
Olea hansineensis,Mollusca,Gastropoda,1,0,0
Octineon suecicum,Cnidaria,Anthozoa,1,0,0
Dryodora glandiformis,Ctenophora,Tentaculata,1,0,0
Chaetozone acuta,Annelida,Polychaeta,1,0,0
Tectidrilus diversus,Annelida,Clitellata,1,0,0
Ainudrilus oceanicus,Annelida,Clitellata,1,0,0
Poecillastra tenuilaminaris,Porifera,Demospongiae,1,0,0
Doridicola sunnivae,Arthropoda,Copepoda,1,0,0
Thoracophelia mucronata,Annelida,Polychaeta,1,1,1
Nootkadrilus grandisetosus,Annelida,Clitellata,1,0,0
Paragorgia pacifica,Cnidaria,Anthozoa,1,0,0
Contracaecum rudolphii,Nematoda,Chromadorea,1,0,0
Aktedrilus oregonensis,Annelida,Clitellata,1,0,0
Pygodelphys aquilonaris,Arthropoda,Copepoda,1,0,0
Opisthodonta uraga,Annelida,Polychaeta,1,0,0
Monopylephorus cuticulatus,Annelida,Clitellata,1,0,0
Nephtys longosetosa,Annelida,Polychaeta,1,0,0
Notomastus tenuis,Annelida,Polychaeta,1,0,0
Paralvinella palmiformis,Annelida,Polychaeta,1,0,0
Eranno bicirrata,Annelida,Polychaeta,1,0,0
Neoamphitrite groenlandica,Annelida,Polychaeta,1,0,0
Pista cristata,Annelida,Polychaeta,1,0,0
Spio filicornis,Annelida,Polychaeta,1,0,0
Flabelligera affinis,Annelida,Polychaeta,1,0,0
Nereis neoneanthes,Annelida,Polychaeta,1,0,0
Octobranchus pacificus,Annelida,Polychaeta,1,0,0
Nicomache venticola,Annelida,Polychaeta,1,0,0
Naineris quadricuspida,Annelida,Polychaeta,1,0,0
Loimia medusa,Annelida,Polychaeta,1,0,0
Alitta brandti,Annelida,Polychaeta,1,1,1
Thelepus cincinnatus,Annelida,Polychaeta,1,0,0
Paradiopatra parva,Annelida,Polychaeta,1,0,0
Asterias rubens,Echinodermata,Asteroidea,1,0,0
Polycera tricolor,Mollusca,Gastropoda,1,0,0
Dosidicus gigas,Mollusca,Cephalopoda,1,0,0
Poraniopsis inflata,Echinodermata,Asteroidea,1,0,0
Petricola carditoides,Mollusca,Bivalvia,1,0,0
Corynactis californica,Cnidaria,Anthozoa,1,0,0
Arcuatula senhousia,Mollusca,Bivalvia,1,0,0
Calliostoma canaliculatum,Mollusca,Gastropoda,1,1,1
Corallimorphus pilatus,Cnidaria,Anthozoa,1,0,0
Tanystylum grossifemorum,Arthropoda,Pycnogonida,1,0,0
Kellia laperousii,Mollusca,Bivalvia,1,0,0
Idotea fewkesi,Arthropoda,Malacostraca,1,0,0
Chuniphyes multidentata,Cnidaria,Hydrozoa,1,0,0
Nootkadrilus verutus,Annelida,Clitellata,1,0,0
Malmgreniella liei,Annelida,Polychaeta,1,0,0
Artacama coniferi,Annelida,Polychaeta,1,0,0
Tubificoides kozloffi,Annelida,Clitellata,1,0,0
Gattyana treadwelli,Annelida,Polychaeta,1,0,0
Herrmannella bullata,Arthropoda,Copepoda,1,0,0
Tenonia priops,Annelida,Polychaeta,1,0,0
Orbiniella nuda,Annelida,Polychaeta,1,0,0
Herrmannella saxidomi,Arthropoda,Copepoda,1,0,0
Haplostoma elegans,Arthropoda,Copepoda,1,0,0
Eunoe oerstedi,Annelida,Polychaeta,1,0,0
Protoariciella oligobranchia,Annelida,Polychaeta,1,0,0
Scolecodes huntsmani,Arthropoda,Copepoda,1,0,0
Trissonchulus benepapillosus,Nematoda,Enoplea,1,0,0
Eogammarus oclairi,Arthropoda,Malacostraca,1,0,0
Monothula subtilis,Arthropoda,Copepoda,1,0,0
Leptogorgia chilensis,Cnidaria,Anthozoa,1,0,0
Stylaster parageus,Cnidaria,Hydrozoa,1,0,0
Eunoe uniseriata,Annelida,Polychaeta,1,0,0
Paragorgia jamesi,Cnidaria,Anthozoa,1,0,0
Lumbrineris limicola,Annelida,Polychaeta,1,0,0
Triconia redacta,Arthropoda,Copepoda,1,0,0
Haplosaccus elongatus,Arthropoda,Copepoda,1,0,0
Monopylephorus rubroniveus,Annelida,Clitellata,1,0,0
Neoamphitrite edwardsii,Annelida,Polychaeta,1,0,0
Pseudanthessius latus,Arthropoda,Copepoda,1,0,0
Tubificoides brevicoleus,Annelida,Clitellata,1,0,0
Scleroplax faba,Arthropoda,Malacostraca,1,0,0
Pandalus hypsinotus,Arthropoda,Malacostraca,1,0,0
Cadlina jannanicholsae,Mollusca,Gastropoda,1,0,0
Kronborgia pugettensis,Platyhelminthes,0,1,0,0
Anthothela pacifica,Cnidaria,Anthozoa,1,0,0
Fiona pinnata,Mollusca,Gastropoda,1,0,0
Amphisbetia furcata,Cnidaria,Hydrozoa,1,0,0
Metandrocarpa dura,Chordata,Ascidiacea,1,1,1
Cirratulus cirratus,Annelida,Polychaeta,1,0,0
Sperosoma biseriatum,Echinodermata,Echinoidea,1,0,0
Pandalus tridens,Arthropoda,Malacostraca,1,0,0
Pteraster militaris,Echinodermata,Asteroidea,1,0,0
Pseudostichopus mollis,Echinodermata,Holothuroidea,1,0,0
Mopalia imporcata,Mollusca,Polyplacophora,1,1,1
Asteroschema sublaeve,Echinodermata,Ophiuroidea,1,0,0
Eualus biunguis,Arthropoda,Malacostraca,1,0,0
Bylgides macrolepidus,Annelida,Polychaeta,1,0,0
Demoleus heptapus,Arthropoda,Copepoda,1,0,0
Hippasteria californica,Echinodermata,Asteroidea,1,0,0
Sertularia argentea,Cnidaria,Hydrozoa,1,0,0
Sertularia similis,Cnidaria,Hydrozoa,1,0,0
Lirularia succincta,Mollusca,Gastropoda,1,0,0
Micronereis nanaimoensis,Annelida,Polychaeta,1,0,0
Crassicardia crassidens,Mollusca,Bivalvia,1,0,0
Paciocinebrina sclera,Mollusca,Gastropoda,1,0,0
Melanella thersites,Mollusca,Gastropoda,1,0,0
Protodorvillea gracilis,Annelida,Polychaeta,1,0,0
Neptunea ithia,Mollusca,Gastropoda,1,0,0
Pista wui,Annelida,Polychaeta,1,0,0
Cistenides granulata,Annelida,Polychaeta,1,0,0
Glycera robusta,Annelida,Polychaeta,1,0,0
Lumbrineris erecta,Annelida,Polychaeta,1,0,0
Lepidasthenia berkeleyae,Annelida,Polychaeta,1,0,0
Homalopoma baculum,Mollusca,Gastropoda,1,0,0
Amphissa reticulata,Mollusca,Gastropoda,1,0,0
Bradabyssa villosa,Annelida,Polychaeta,1,0,0
Nassarius fraterculus,Mollusca,Gastropoda,1,0,0
Corolla spectabilis,Mollusca,Gastropoda,1,0,0
Pandalus goniurus,Arthropoda,Malacostraca,1,0,0
Spirontocaris arcuata,Arthropoda,Malacostraca,1,0,0
Watersipora cucullata,Bryozoa,Gymnolaemata,1,0,0
Acanthodoris brunnea,Mollusca,Gastropoda,1,0,0
Cerebratulus marginatus,Nemertea,Pilidiophora,1,0,0
Tegula brunnea,Mollusca,Gastropoda,1,0,0
Paranaitis polynoides,Annelida,Polychaeta,1,0,0
Neomolgus littoralis,Arthropoda,Arachnida,1,0,0
Gammarus lacustris,Arthropoda,Malacostraca,1,0,0
Sunamphitoe humeralis,Arthropoda,Malacostraca,1,0,0
Photis bifurcata,Arthropoda,Malacostraca,1,0,0
Potamopyrgus antipodarum,Mollusca,Gastropoda,1,0,0
Muggiaea atlantica,Cnidaria,Hydrozoa,1,0,0
Ciona intestinalis,Chordata,Ascidiacea,1,0,0
Tonicella lokii,Mollusca,Polyplacophora,1,0,0
Cadlina sylviaearleae,Mollusca,Gastropoda,1,0,0
Ptychogastria polaris,Cnidaria,Hydrozoa,1,0,0
Idotea rufescens,Arthropoda,Malacostraca,1,0,0
Obelia dichotoma,Cnidaria,Hydrozoa,1,0,0
Eupentacta pseudoquinquesemita,Echinodermata,Holothuroidea,1,0,0
Paralithodes camtschaticus,Arthropoda,Malacostraca,1,0,0
Juxtacribrilina annulata,Bryozoa,Gymnolaemata,1,0,0
Hermissenda opalescens,Mollusca,Gastropoda,1,0,0
Limneria prolongata,Mollusca,Gastropoda,1,0,0
Pannychia moseleyi,Echinodermata,Holothuroidea,1,0,0
Lyonsia californica,Mollusca,Bivalvia,1,0,0
Exogone verugera,Annelida,Polychaeta,1,0,0
Polycirrus kerguelensis,Annelida,Polychaeta,1,0,0
Desmophyllum pertusum,Cnidaria,Anthozoa,1,0,0
Elysia hedgpethi,Mollusca,Gastropoda,1,1,1
Heptacarpus franciscanus,Arthropoda,Malacostraca,1,0,0
Pilargis berkeleyae,Annelida,Polychaeta,1,0,0
Ostrea lurida,Mollusca,Bivalvia,1,0,0
Aglantha digitale,Cnidaria,Hydrozoa,1,0,0
Metasychis disparidentatus,Annelida,Polychaeta,1,0,0
Carinaria cristata,Mollusca,Gastropoda,1,0,0
Leucothea pulchra,Ctenophora,Tentaculata,1,0,0
Diaphoreolis flavovulta,Mollusca,Gastropoda,1,0,0
Procambarus clarkii,Arthropoda,Malacostraca,1,0,0
Spirontocaris snyderi,Arthropoda,Malacostraca,1,0,0
Solmissus incisa,Cnidaria,Hydrozoa,1,0,0
Lepeophtheirus salmonis,Arthropoda,Copepoda,1,0,0
Hippolyte clarki,Arthropoda,Malacostraca,1,0,0
Liponema brevicorne,Cnidaria,Anthozoa,1,0,0
Umbellula lindahli,Cnidaria,Anthozoa,1,0,0
Corambe pacifica,Mollusca,Gastropoda,1,0,0
Pagurus holmi,Arthropoda,Malacostraca,1,0,0
Cliona celata,Porifera,Demospongiae,1,0,0
Eualus macrophthalmus,Arthropoda,Malacostraca,1,0,0
Arenicola marina,Annelida,Polychaeta,1,0,0
Penares cortius,Porifera,Demospongiae,1,0,0
Hormiphora cucumis,Ctenophora,Tentaculata,1,0,0
Spirontocaris holmesi,Arthropoda,Malacostraca,1,0,0
Farrea occa,Porifera,Hexactinellida,1,0,0
Laqueus vancouveriensis,Brachiopoda,Rhynchonellata,1,0,0
Ophiopteris papillosa,Echinodermata,Ophiuroidea,1,0,0
Gephyreaster swifti,Echinodermata,Asteroidea,1,0,0
Beroe cucumis,Ctenophora,Nuda,1,0,0
Euphausia pacifica,Arthropoda,Malacostraca,1,1,1
Megalorchestia columbiana,Arthropoda,Malacostraca,1,0,0
Chromoplexaura marki,Cnidaria,Anthozoa,1,0,0
Tritonia tetraquetra,Mollusca,Gastropoda,1,0,0
Diadumene lighti,Cnidaria,Anthozoa,1,0,0
Cuthonella punicea,Mollusca,Gastropoda,1,0,0
Neotrapezium liratum,Mollusca,Bivalvia,1,0,0
Phrixocephalus cincinnatus,Arthropoda,Copepoda,1,0,0
Derogenes varicus,Platyhelminthes,Trematoda,1,0,0
Megalocotyle marginata,Platyhelminthes,Monogenea,1,0,0
Hysterothylacium aduncum,Nematoda,Chromadorea,1,0,0
Ergasilus turgidus,Arthropoda,Copepoda,1,0,0
Prodistomum alaskense,Platyhelminthes,Trematoda,1,0,0
Lecithophyllum botryophoron,Platyhelminthes,Trematoda,1,0,0
Chondracanthus triventricosus,Arthropoda,Copepoda,1,0,0
Podocotyle sinusacca,Platyhelminthes,Trematoda,1,0,0
Ascarophis sebastodis,Nematoda,Chromadorea,1,0,0
Littorellicola sebastodorum,Platyhelminthes,Trematoda,1,0,0
Squalonchocotyle squali,Platyhelminthes,Monogenea,1,0,0
Streptocara crassicauda,Nematoda,Chromadorea,1,0,0
Telolecithus pugetensis,Platyhelminthes,Trematoda,1,0,0
Prosorhynchus crucibulum,Platyhelminthes,Trematoda,1,0,0
Parabrachiella robusta,Arthropoda,Copepoda,1,0,0
Parahemiurus merus,Platyhelminthes,Trematoda,1,0,0
Steganoderma formosum,Platyhelminthes,Trematoda,1,0,0
Lecithaster gibbosus,Platyhelminthes,Trematoda,1,0,0
Microcotyle sebastis,Platyhelminthes,Monogenea,1,0,0
Naobranchia occidentalis,Arthropoda,Copepoda,1,0,0
Genolinea laticauda,Platyhelminthes,Trematoda,1,0,0
Sarcotaces arcticus,Arthropoda,Copepoda,1,0,0
Nybelinia surmenicola,Platyhelminthes,Cestoda,1,0,0
Podocotyle atomon,Platyhelminthes,Trematoda,1,0,0
Contracaecum osculatum,Nematoda,Chromadorea,1,0,0
Podocotyle californica,Platyhelminthes,Trematoda,1,0,0
Paralepidapedon sebastisci,Platyhelminthes,Trematoda,1,0,0
Clavella parva,Arthropoda,Copepoda,1,0,0
Caudotestis opisthorchis,Platyhelminthes,Trematoda,1,0,0
Deretrema cholaeum,Platyhelminthes,Trematoda,1,0,0
