Sample ID,Field ID,Museum ID,Institution Storing,Project Code,Process ID,Sample ID,Field ID,BIN,Catalog Num,tufA Seq. Length,PSBA Seq. Length,COI-5P Seq. Length,COI-5P Trace Count,ITS Seq. Length,28S Seq. Length,rbcL Seq. Length,18S Seq. Length,Image Count,Barcode Compliant,Collection Date,Identification,Institution,Notes,Phylum,Class,Order,Family,Subfamily,Genus,Species,Identifier,Identifier Email,Identification Method,Taxonomy Notes,Collectors,Collection Date,Country/Ocean,State/Province,Region,Sector,Exact Site,Lat,Lon,Elev,Depth,Elevation Precision,Depth Precision,GPS Source,Coordinate Accuracy,Event Time,Collection Date Accuracy,Habitat,Sampling Protocol,Collection Notes,Site Code,Collection Event ID
BHAK2230,BHAK2230,Arthropoda-049455,Florida Museum of Natural History,BHAK,BHAK856-18,BHAK2230,BHAK2230,BOLD:AED0136,Arthropoda-049455,0[n],0[n],638[0n],2,0[n],0[n],0[n],0[n],1,Yes,01-Aug-2017,Gnathopleustes simplex,Florida Museum of Natural History,,Arthropoda,Malacostraca,Amphipoda,Pleustidae,Parapleustinae,Gnathopleustes,Gnathopleustes simplex,Craig Staude,,morphology,,Hakai Institute,01-Aug-2017,Canada,British Columbia,Central Coast,Calvert Island,Pruth Dock,51.6546,-128.129,,,,,iPad (Collector),,,,Dock/Pier,hand collected,,IHAK34,
BHAK-1191,BHAK-1191,Arthropoda-47504,Florida Museum of Natural History,BHAK,BHAK2568-20,BHAK-1191,BHAK-1191,BOLD:AED0136,Arthropoda-47504,0[n],0[n],616[0n],2,0[n],0[n],0[n],0[n],1,Yes,30-Jul-2017,Gnathopleustes,Florida Museum of Natural History,,Arthropoda,Malacostraca,Amphipoda,Pleustidae,Parapleustinae,Gnathopleustes,,Gustav Paulay,paulay@flmnh.ufl.edu,morphology,,Gustav Paulay,30-Jul-2017,Canada,British Columbia,Central Coast,Calvert Island,Meay Channel,51.665,-128.135,,18,,,GPS,,,,,hand collected by SCUBA,,,IHAK20
BHAK-3324,BHAK-3324,Arthropoda-047745,Florida Museum of Natural History,BHAK,BHAK2625-20,BHAK-3324,BHAK-3324,BOLD:AAG7139,Arthropoda-047745,0[n],0[n],635[0n],2,0[n],0[n],0[n],0[n],1,Yes,08-Aug-2017,Micropleustes nautilus,Florida Museum of Natural History,different specimen of same species UFID: Arthropoda-047745,Arthropoda,Malacostraca,Amphipoda,Pleustidae,,Micropleustes,Micropleustes nautilus,Gustav Paulay,paulay@flmnh.ufl.edu,morphology,,"Gustav Paulay, Amanda Bemis, Matt Whalen",08-Aug-2017,Canada,British Columbia,Central Coast,Calvert Island,North Beach,51.665,-128.135,,,,,GPS,,,,low to mid intertidal boulder field,hand collected,,,IHAK65
BHAK3310,BHAK3310,Arthropoda-047733,Florida Museum of Natural History,BHAK,BHAK741-18,BHAK3310,BHAK3310,BOLD:AAG7139,Arthropoda-047733,0[n],0[n],658[0n],2,0[n],0[n],0[n],0[n],2,Yes,08-Aug-2017,Micropleustes nautilus,Florida Museum of Natural History,,Arthropoda,Malacostraca,Amphipoda,Pleustidae,,Micropleustes,Micropleustes nautilus,Craig Staude,,morphology,,Hakai Institute,08-Aug-2017,Canada,British Columbia,Central Coast,Calvert Island,North Beach,51.6648,-128.135,,,,,iPad (collector),,,,Boulder field,Hand collecting,"East boulders, exposed rocky intertidal",IHAK65,
BHAK2769,BHAK2769,Arthropoda-049476,Florida Museum of Natural History,BHAK,BHAK690-18,BHAK2769,BHAK2769,BOLD:ADM1944,Arthropoda-049476,0[n],0[n],658[0n],2,0[n],0[n],0[n],0[n],2,Yes,04-Aug-2017,Trachypleustes,Florida Museum of Natural History,,Arthropoda,Malacostraca,Amphipoda,Pleustidae,,Trachypleustes,,,,morphology,,Aaron Galloway,04-Aug-2017,Canada,British Columbia,Central Coast,Hakai Pass,Port Reef,51.6967,-128.105,,21,,,IPAD (collector),,,,rocky reef,Vacuum/Scuba,,IHAK50a,
BHAK2233,BHAK2233,Arthropoda-049426,Florida Museum of Natural History,BHAK,BHAK872-18,BHAK2233,BHAK2233,BOLD:AED0136,Arthropoda-049426,0[n],0[n],554[0n],2,0[n],0[n],0[n],0[n],1,Yes,01-Aug-2017,Pleustidae,Florida Museum of Natural History,different specimen of same species UFID: Arthropoda-049426,Arthropoda,Malacostraca,Amphipoda,Pleustidae,,,,Craig Staude,,morphology,,Hakai Institute,01-Aug-2017,Canada,British Columbia,Central Coast,Calvert Island,Pruth Dock,51.6546,-128.129,,,,,iPad (Collector),,,,Dock/Pier,hand collected,,IHAK34,
BHAK2232,BHAK2232,Arthropoda-049532,Florida Museum of Natural History,BHAK,BHAK833-18,BHAK2232,BHAK2232,BOLD:AED0136,Arthropoda-049532,0[n],0[n],602[0n],2,0[n],0[n],0[n],0[n],1,Yes,01-Aug-2017,Pleustidae,Florida Museum of Natural History,different specimen of same species UFID: Arthropoda-049532,Arthropoda,Malacostraca,Amphipoda,Pleustidae,,,,Craig Staude,,morphology,,Hakai Institute,01-Aug-2017,Canada,British Columbia,Central Coast,Calvert Island,Pruth Dock,51.6546,-128.129,,,,,iPad (Collector),,,,Dock/Pier,hand collected,,IHAK34,
BHAK-1652,BHAK-1652,Arthropoda-47575,Florida Museum of Natural History,BHAK,BHAK2570-20,BHAK-1652,BHAK-1652,BOLD:AAH2672,Arthropoda-47575,0[n],0[n],644[0n],2,0[n],0[n],0[n],0[n],1,Yes,31-Jul-2017,Podocerus cristatus,Florida Museum of Natural History,,Arthropoda,Malacostraca,Amphipoda,Podoceridae,,Podocerus,Podocerus cristatus,Gustav Paulay,paulay@flmnh.ufl.edu,morphology,,Gustav Paulay,31-Jul-2017,Canada,British Columbia,Central Coast,Hecate Island,Kelpie Point,51.734,-127.997,,15,,,iPad (collector),,,,kelp forest,holdfast sample,,,IHAK23
BHAK-1663,BHAK-1663,,Hakai Institute,BHAK,BHAK2575-20,BHAK-1663,BHAK-1663,,,0[n],0[n],612[0n],2,0[n],0[n],0[n],0[n],1,Yes,01-Aug-2017,Podocerus cristatus,Hakai Institute,different specimen of same species UFID: Arthropoda-049416,Arthropoda,Malacostraca,Amphipoda,Podoceridae,,Podocerus,Podocerus cristatus,Gustav Paulay,paulay@flmnh.ufl.edu,morphology,,Hakai Institute,01-Aug-2017,Canada,British Columbia,Central Coast,Spider Island,Spider Island ARMS,51.841,-128.256,,9,,,,,,,"mixed kelp forest, ocean coast, rock outcrop, bedrock",hand collected by SCUBA,,,DHAK04
BHAK-1647,BHAK-1647,,Hakai Institute,BHAK,BHAK2582-20,BHAK-1647,BHAK-1647,BOLD:AAG7257,,0[n],0[n],633[0n],2,0[n],0[n],0[n],0[n],2,No,31-Jul-2017,Paramoera bousfieldi,Hakai Institute,,Arthropoda,Malacostraca,Amphipoda,Pontogeneiidae,,Paramoera,Paramoera bousfieldi,Gustav Paulay,paulay@flmnh.ufl.edu,morphology,,Craig Staude,31-Jul-2017,Canada,British Columbia,Central Coast,Calvert Island,Pruth Bay,51.654,-128.13,,,,,,,,,,hand collected,,,IHAK24
BHAK-06882,BHAK-6882,Arthropoda_053268,Florida Museum of Natural History,BHAK,BHAK3137-20,BHAK-06882,BHAK-6882,,Arthropoda_053268,0[n],0[n],462[0n],2,0[n],0[n],0[n],0[n],1,No,27-Jun-2018,Pontogeneia ivanovi,Florida Museum of Natural History,,Arthropoda,Malacostraca,Amphipoda,Pontogeneiidae,,Pontogeneia,Pontogeneia ivanovi,Craig Staude,,Morphology,Additional Identifier: Brittany Cumming,Sandra Lindstrom,27-Jun-2018,Canada,British Columbia,Central Coast,Calvert Island,S. end of West Beach,51.652,-128.142,,0.5,,,,,,,"intertidal rocks, sand, algae",Hand Collected,Depth Precision: 0.5m,,EHAK-53
BHAK1669,BHAK1669,Arthropoda-049523,Florida Museum of Natural History,BHAK,BHAK715-18,BHAK1669,BHAK1669,BOLD:AAG0659,Arthropoda-049523,0[n],0[n],653[0n],2,0[n],0[n],0[n],0[n],2,Yes,01-Aug-2017,Pontogeneia rostrata,Florida Museum of Natural History,,Arthropoda,Malacostraca,Amphipoda,Pontogeneiidae,,Pontogeneia,Pontogeneia rostrata,,,morphology,,Gustav Paulay,01-Aug-2017,Canada,British Columbia,Central Coast,Triquet Island,,51.8057,-128.258,,8,,,IPAD (collector),,,,Boulder Field,hand collected by SCUBA,Triquet Island Macro site,IHAK31A,
BHAK-06562,BHAK-6562,Arthropoda_053190,Florida Museum of Natural History,BHAK,BHAK3113-20,BHAK-06562,BHAK-6562,BOLD:AAG0660,Arthropoda_053190,0[n],0[n],347[2n],2,0[n],0[n],0[n],0[n],1,No,23-Jun-2018,Pontogeneia rostrata,Florida Museum of Natural History,,Arthropoda,Malacostraca,Amphipoda,Pontogeneiidae,,Pontogeneia,Pontogeneia rostrata,Craig Staude,,Morphology,Additional Identifier: Brittany Cumming,Hakai Institute,23-Jun-2018,Canada,British Columbia,Central Coast,Calvert Island,"Choked Pass, Transect I4",51.675,-128.118,,4.5,,,,,,,Seagrass Bed,"Hand Collected, SCUBA",,,EHAK-15
BHAK-1664,BHAK-1664,Arthropoda-049492,Florida Museum of Natural History,BHAK,BHAK2585-20,BHAK-1664,BHAK-1664,,Arthropoda-049492,0[n],0[n],658[0n],2,0[n],0[n],0[n],0[n],1,Yes,01-Aug-2017,Pontogeneia rostrata,Florida Museum of Natural History,,Arthropoda,Malacostraca,Amphipoda,Pontogeneiidae,,Pontogeneia,Pontogeneia rostrata,Gustav Paulay,paulay@flmnh.ufl.edu,morphology,,Gustav Paulay,01-Aug-2017,Canada,British Columbia,Central Coast,Triquet Island,Triquet Bay,51.806,-128.258,,8,,,iPad (collector),,,,"outer coast, Macrocystis pyrifera forest",hand collected by SCUBA,,,IHAK31
ZOO_190,ZOO_190,ZOO_190,Hakai Institute,ZHAK,ZHAK190-18,ZOO_190,ZOO_190,BOLD:ADM6965,ZOO_190,0[n],0[n],571[0n],2,0[n],0[n],0[n],925[0n],2,Yes,07-Jun-2014,Scina borealis,Hakai Institute,,Arthropoda,Malacostraca,Amphipoda,Scinidae,,Scina,Scina borealis,Moira Galbraith,moira.galbraith@dfo-mpo.gc.ca,Morphology,,,07-Jun-2014,Canada,British Columbia,Salish Sea,,GEO1,49.251,-123.75,,390,,,,,,,,,,,Cruise 2014-21 Event 180
ZOO_189,ZOO_189,ZOO_189,Hakai Institute,ZHAK,ZHAK189-18,ZOO_189,ZOO_189,BOLD:ADM6965,ZOO_189,0[n],0[n],658[0n],2,0[n],0[n],0[n],0[n],2,Yes,07-Jun-2014,Scina borealis,Hakai Institute,,Arthropoda,Malacostraca,Amphipoda,Scinidae,,Scina,Scina borealis,Moira Galbraith,moira.galbraith@dfo-mpo.gc.ca,Morphology,,,07-Jun-2014,Canada,British Columbia,Salish Sea,,GEO1,49.251,-123.75,,390,,,,,,,,,,,Cruise 2014-21 Event 180
ZOO_188,ZOO_188,ZOO_188,Hakai Institute,ZHAK,ZHAK188-18,ZOO_188,ZOO_188,BOLD:ADM6965,ZOO_188,0[n],0[n],658[0n],2,0[n],0[n],0[n],0[n],2,Yes,07-Jun-2014,Scina borealis,Hakai Institute,,Arthropoda,Malacostraca,Amphipoda,Scinidae,,Scina,Scina borealis,Moira Galbraith,moira.galbraith@dfo-mpo.gc.ca,Morphology,,,07-Jun-2014,Canada,British Columbia,Salish Sea,,GEO1,49.251,-123.75,,390,,,,,,,,,,,Cruise 2014-21 Event 180
ZOO_187,ZOO_187,ZOO_187,Hakai Institute,ZHAK,ZHAK187-18,ZOO_187,ZOO_187,BOLD:ADM6965,ZOO_187,0[n],0[n],658[0n],2,0[n],0[n],0[n],0[n],2,Yes,07-Jun-2014,Scina borealis,Hakai Institute,,Arthropoda,Malacostraca,Amphipoda,Scinidae,,Scina,Scina borealis,Moira Galbraith,moira.galbraith@dfo-mpo.gc.ca,Morphology,,,07-Jun-2014,Canada,British Columbia,Salish Sea,,GEO1,49.251,-123.75,,390,,,,,,,,,,,Cruise 2014-21 Event 180
ZOO_186,ZOO_186,ZOO_186,Hakai Institute,ZHAK,ZHAK186-18,ZOO_186,ZOO_186,BOLD:ADM6965,ZOO_186,0[n],0[n],658[0n],2,0[n],0[n],0[n],0[n],2,Yes,07-Jun-2014,Scina borealis,Hakai Institute,,Arthropoda,Malacostraca,Amphipoda,Scinidae,,Scina,Scina borealis,Moira Galbraith,moira.galbraith@dfo-mpo.gc.ca,Morphology,,,07-Jun-2014,Canada,British Columbia,Salish Sea,,GEO1,49.251,-123.75,,390,,,,,,,,,,,Cruise 2014-21 Event 180
ZOO_185,ZOO_185,ZOO_185,Hakai Institute,ZHAK,ZHAK185-18,ZOO_185,ZOO_185,BOLD:ADM6965,ZOO_185,0[n],0[n],658[0n],2,0[n],0[n],0[n],0[n],2,Yes,10-Feb-2015,Scina borealis,Hakai Institute,,Arthropoda,Malacostraca,Amphipoda,Scinidae,,Scina,Scina borealis,Moira Galbraith,moira.galbraith@dfo-mpo.gc.ca,Morphology,,,10-Feb-2015,Canada,British Columbia,Salish Sea,,HARO59,49.251,-123.75,,217,,,,,,,,,,,Cruise 2015-01 Event 2
BHAK2795,BHAK2795,Arthropoda-049460,Florida Museum of Natural History,BHAK,BHAK644-18,BHAK2795,BHAK2795,,Arthropoda-049460,0[n],0[n],661[0n],2,0[n],0[n],0[n],0[n],2,Yes,05-Aug-2017,Stenula incola,Florida Museum of Natural History,,Arthropoda,Malacostraca,Amphipoda,Stenothoidae,Stenothoinae,Stenula,Stenula incola,,,morphology,,Gustav Paulay,05-Aug-2017,Canada,British Columbia,Central Coast,Calvert Island,Mouth of Kwakshua,51.6552,-127.96,,13,,8,iPad (collector),,,,rock outcrop,Hand Collecting/Scuba,,IHAK52,
BHAK1193,BHAK1193,Arthropoda-047506,Florida Museum of Natural History,BHAK,BHAK1317-18,BHAK1193,BHAK1193,BOLD:ADN8442,Arthropoda-047506,0[n],0[n],658[1n],2,0[n],0[n],0[n],0[n],2,Yes,30-Jul-2017,Stenothoidae,Florida Museum of Natural History,,Arthropoda,Malacostraca,Amphipoda,Stenothoidae,,,,Craig Staude,,morphology,,Gustav Paulay,30-Jul-2017,Canada,British Columbia,Central Coast,Calvert Island,Meay Channel,51.6654,-128.095,,18,,,IPAD (collector),,,,bay,hand collected by SCUBA,"algal substrate,",IHAK20,
BHAK-2271,BHAK-2271,,Hakai Institute,BHAK,BHAK2583-20,BHAK-2271,BHAK-2271,BOLD:AED0497,,0[n],0[n],637[0n],2,0[n],0[n],0[n],0[n],2,Yes,03-Aug-2017,Stenothoidae,Hakai Institute,Reproduction: ovigerous | different specimen of same species: BHAK-2271,Arthropoda,Malacostraca,Amphipoda,Stenothoidae,,,,Gustav Paulay,paulay@flmnh.ufl.edu,morphology,,"Hakai Institute, Aaron Galloway, Andy Lamb",03-Aug-2017,Canada,British Columbia,Central Coast,Rattenbury Island,Rattenbury Pinnacle,51.691,-128.08,,21,,,,,,,,hand collected by SCUBA,,,IHAK44
BHAK-1625,BHAK-1625,,Hakai Institute,BHAK,BHAK2595-20,BHAK-1625,BHAK-1625,BOLD:AED0691,,0[n],0[n],658[0n],2,0[n],0[n],0[n],0[n],2,Yes,30-Jul-2017,Stenothoidae,Hakai Institute,Reproduction: ovigerous,Arthropoda,Malacostraca,Amphipoda,Stenothoidae,,,,Gustav Paulay,paulay@flmnh.ufl.edu,morphology,,Hakai Institute,30-Jul-2017,Canada,British Columbia,Central Coast,Mercury Islet,,51.744,-128.071,,10,,5,iPad (collector),,,,"rocky outcrop, urchin barrem, bedrock, exposed ocean coast",hand collected by SCUBA,,,IHAK22
BHAK-3315,BHAK-3315,Arthropoda-047738,Florida Museum of Natural History,BHAK,BHAK2566-20,BHAK-3315,BHAK-3315,BOLD:ADB4939,Arthropoda-047738,0[n],0[n],658[0n],2,0[n],0[n],0[n],0[n],1,Yes,08-Aug-2017,Megalorchestia californiana,Florida Museum of Natural History,,Arthropoda,Malacostraca,Amphipoda,Talitridae,,Megalorchestia,Megalorchestia californiana,Gustav Paulay,paulay@flmnh.ufl.edu,morphology,,"Craig Staude, Henry Choong",08-Aug-2017,Canada,British Columbia,Central Coast,Calvert Island,North Beach,51.663,-128.14,,,,,iPad (collector),,,,high intertidal,hand collected,,,IHAK69
BHAK-3314,BHAK-3314,Arthropoda-047737,Florida Museum of Natural History,BHAK,BHAK2563-20,BHAK-3314,BHAK-3314,BOLD:AAG1965,Arthropoda-047737,0[n],0[n],658[0n],2,0[n],0[n],0[n],0[n],1,Yes,08-Aug-2017,Megalorchestia pugettensis,Florida Museum of Natural History,,Arthropoda,Malacostraca,Amphipoda,Talitridae,,Megalorchestia,Megalorchestia pugettensis,Gustav Paulay,paulay@flmnh.ufl.edu,morphology,,"Craig Staude, Henry Choong",08-Aug-2017,Canada,British Columbia,Central Coast,Calvert Island,West Beach,51.655,-128.139,,,,,iPad (collector),,,,high intertidal,hand collected,,,IHAK68
BHAK-3320,BHAK-3320,Arthropoda-047743,Florida Museum of Natural History,BHAK,BHAK2630-20,BHAK-3320,BHAK-3320,BOLD:AAG1965,Arthropoda-047743,0[n],0[n],646[0n],2,0[n],0[n],0[n],0[n],1,Yes,08-Aug-2017,Megalorchestia,Florida Museum of Natural History,,Arthropoda,Malacostraca,Amphipoda,Talitridae,,Megalorchestia,,Gustav Paulay,paulay@flmnh.ufl.edu,morphology,,"Craig Staude, Henry Choong",08-Aug-2017,Canada,British Columbia,Central Coast,Calvert Island,North Beach,51.663,-128.14,,,,,,,,,high intertidal,hand collected,,,IHAK69
BHAK-06876,BHAK-6876,Arthropoda_053262,Florida Museum of Natural History,BHAK,BHAK3135-20,BHAK-06876,BHAK-6876,BOLD:AAY6275,Arthropoda_053262,0[n],0[n],658[0n],2,0[n],0[n],0[n],0[n],1,Yes,26-Jun-2018,Traskorchestia traskiana,Florida Museum of Natural History,,Arthropoda,Malacostraca,Amphipoda,Talitridae,,Traskorchestia,Traskorchestia traskiana,Craig Staude,,Morphology,Additional Identifier: Brittany Cumming,Hakai Institute,26-Jun-2018,Canada,British Columbia,Central Coast,Calvert Island,Dog (station) Beach,51.655,-128.13,,0.5,,,,,,,high intertidal cobbles,Hand Collected,Depth Precision: 0.5m,,EHAK-55
BHAK-1173,BHAK-1173,Arthropoda-47493,Florida Museum of Natural History,BHAK,BHAK2571-20,BHAK-1173,BHAK-1173,BOLD:AAY6275,Arthropoda-47493,0[n],0[n],658[0n],2,0[n],0[n],0[n],0[n],1,Yes,29-Jul-2017,Traskorchestia traskiana,Florida Museum of Natural History,Reproduction: ovigerous,Arthropoda,Malacostraca,Amphipoda,Talitridae,,Traskorchestia,Traskorchestia traskiana,Gustav Paulay,paulay@flmnh.ufl.edu,morphology,,Craig Staude,29-Jul-2017,Canada,British Columbia,Central Coast,Calvert Island,Pruth Bay,51.654,-128.13,,,,,,,,,,hand collected,,,IHAK16
BHAK1172,BHAK1172,Arthropoda-047492,Florida Museum of Natural History,BHAK,BHAK907-18,BHAK1172,BHAK1172,BOLD:AAY6275,Arthropoda-047492,0[n],0[n],658[0n],2,0[n],0[n],0[n],0[n],2,Yes,29-Jul-2017,Traskorchestia traskiana,Florida Museum of Natural History,,Arthropoda,Malacostraca,Amphipoda,Talitridae,,Traskorchestia,Traskorchestia traskiana,Craig Staude,,morphology,,Craig Staude,29-Jul-2017,Canada,British Columbia,Central Coast,Calvert Island,Pruth Bay,51.6541,-128.13,,,,,,,,,bay,hand collected,Gravel beach between dock and barge ramp,IHAK16,
BHAK2784,BHAK2784,Arthropoda-049435,Florida Museum of Natural History,BHAK,BHAK663-18,BHAK2784,BHAK2784,BOLD:ADL9771,Arthropoda-049435,0[n],0[n],658[0n],2,0[n],0[n],0[n],0[n],2,Yes,05-Aug-2017,Lepidepecreum gurjanovae,Florida Museum of Natural History,orange dots at top of coxae,Arthropoda,Malacostraca,Amphipoda,Tryphosidae,,Lepidepecreum,Lepidepecreum gurjanovae,,,morphology,,Gustav Paulay,05-Aug-2017,Canada,British Columbia,Central Coast,Calvert Island,Mouth of Kwakshua,51.6552,-127.96,,13,,8,iPad (collector),,,,rock outcrop,Vacuum/Scuba,,IHAK52a,
BHAK-06597,BHAK-6597,,Hakai Institute,BHAK,BHAK3125-20,BHAK-06597,BHAK-6597,BOLD:AEF0087,,0[n],0[n],603[0n],2,0[n],0[n],0[n],0[n],1,Yes,23-Jun-2018,Orchomene,Hakai Institute,,Arthropoda,Malacostraca,Amphipoda,Tryphosidae,,Orchomene,,Craig Staude,,Morphology,Additional Identifier: Brittany Cumming,Hakai Institute,23-Jun-2018,Canada,British Columbia,Central Coast,Calvert Island,"Choked Pass, Transect E2",51.673,-128.117,,,,,,,,,Seagrass Bed,"Hand Collected, SCUBA",,,EHAK-08c
QHAK-00031,QHAK-00031,QHAK-00031,Hakai Institute,QHAK,QHAK024-20,QHAK-00031,QHAK-00031,BOLD:AAB3295,QHAK-00031,0[n],0[n],620[0n],2,0[n],0[n],0[n],0[n],1,Yes,09-Jul-2020,Amphipoda,Hakai Institute,,Arthropoda,Malacostraca,Amphipoda,,,,,Matt Whalen,matt.whalen@hakai.org,,,Hakai Institute,09-Jul-2020,Canada,British Columbia,Discovery Islands,Quadra Island,Hyacinthe Bay,50.117,-125.223,,,,,,,,,Settlement Plate,Hand Collected,,QU38,
QHAK-00049,QHAK-00049,QHAK-00049,Hakai Institute,QHAK,QHAK029-20,QHAK-00049,QHAK-00049,BOLD:AAB3295,QHAK-00049,0[n],0[n],658[0n],2,0[n],0[n],0[n],0[n],1,Yes,09-Jul-2020,Amphipoda,Hakai Institute,,Arthropoda,Malacostraca,Amphipoda,,,,,Matt Whalen,matt.whalen@hakai.org,,,Hakai Institute,09-Jul-2020,Canada,British Columbia,Discovery Islands,Quadra Island,Hyacinthe Bay,50.117,-125.223,,,,,,,,,Settlement Plate,Hand Collected,,QU38,
BHAK2788,BHAK2788,Arthropoda-049490,Florida Museum of Natural History,BHAK,BHAK669-18,BHAK2788,BHAK2788,BOLD:AAG0660,Arthropoda-049490,0[n],0[n],580[0n],2,0[n],0[n],0[n],0[n],2,No,04-Aug-2017,Amphipoda,Florida Museum of Natural History,,Arthropoda,Malacostraca,Amphipoda,,,,,,,morphology,,Hakai Institute Nearshore Technicians,04-Aug-2017,Canada,British Columbia,Central Coast,Choked Pass,,51.6783,-128.127,,8,,,IPAD (collector),,,,seagrass bed,"Hand collecting, SCUBA",sediment collection,IHAK47b,
BHAK-9779,BHAK-9779,,Hakai Institute,BHAK,BHAK2593-20,BHAK-9779,BHAK-9779,BOLD:AAH2672,,0[n],0[n],615[0n],2,0[n],0[n],0[n],0[n],4,Yes,24-Jul-2017,Amphipoda,Hakai Institute,,Arthropoda,Malacostraca,Amphipoda,,,,,Gustav Paulay,paulay@flmnh.ufl.edu,morphology,,"Gustav Paulay, Emmett Duffy, Matt Whalen, Alyssa Gehman",24-Jul-2017,Canada,British Columbia,Central Coast,Calvert Island,West Beach,51.652,-128.143,,,,,,,,,low intertidal boulder field with Macrocystis pyrifera and Phyllospadix spp.,hand collected,,,IHAK07
BHAK-10920,BHAK-10920,,Hakai Institute,QHAK,QHAK223-20,BHAK-10920,BHAK-10920,BOLD:AAH3117,,0[n],0[n],622[0n],,0[n],0[n],0[n],0[n],1,No,01-Jun-2020,Amphipoda,Hakai Institute,,Arthropoda,Malacostraca,Amphipoda,,,,,Emma Myers,,,,Hakai Institute,01-Jun-2020,Canada,British Columbia,Discovery Islands,Quadra Island,Hyacinthe Bay,50.117,-125.223,,,,,,,,,Planktonic,Plankton Net,,QU38,
BHAK851,BHAK851,Arthropoda-047438,Florida Museum of Natural History,BHAK,BHAK787-18,BHAK851,BHAK851,BOLD:ADM2175,Arthropoda-047438,0[n],0[n],658[0n],2,0[n],0[n],0[n],0[n],2,Yes,25-Jul-2017,Amphipoda,Florida Museum of Natural History,,Arthropoda,Malacostraca,Amphipoda,,,,,Gustav Paulay,paulay@flmnh.ufl.edu,morphology,,Haki Bioblitz,25-Jul-2017,Canada,British Columbia,Central Coast,Calvert Island,Fifth Beach,51.6397,-128.156,,,,,,,,,Boulder Field,Hand Collecting,"Cove near iButton, boulders with Phyllospadix and Fucus",IHAK10,
QHAK-00025,QHAK-00025,,Hakai Institute,QHAK,QHAK071-20,QHAK-00025,QHAK-00025,BOLD:ADY5722,,0[n],0[n],658[0n],,0[n],0[n],0[n],0[n],1,No,06-Jul-2020,Amphipoda,Hakai Institute,,Arthropoda,Malacostraca,Amphipoda,,,,,Alana Closs,,,,Hakai Institute,06-Jul-2020,Canada,British Columbia,Discovery Islands,Quadra Island,Hyacinthe Bay,50.117,-125.223,,,,,,,,,Planktonic,Plankton Net,,QU38,
QHAK-00051,QHAK-00051,QHAK-00051,Hakai Institute,QHAK,QHAK031-20,QHAK-00051,QHAK-00051,,QHAK-00051,0[n],0[n],576[0n],2,0[n],0[n],0[n],0[n],1,Yes,09-Jul-2020,Amphipoda,Hakai Institute,,Arthropoda,Malacostraca,Amphipoda,,,,,Matt Whalen,matt.whalen@hakai.org,,,Hakai Institute,09-Jul-2020,Canada,British Columbia,Discovery Islands,Quadra Island,Hyacinthe Bay,50.117,-125.223,,,,,,,,,Settlement Plate,Hand Collected,,QU38,
QHAK-00256,QHAK-00256,,Hakai Institute,QHAK,QHAK444-21,QHAK-00256,QHAK-00256,,,0[n],0[n],627[0n],,0[n],0[n],0[n],0[n],,No,,Amphipoda,Hakai Institute,,Arthropoda,Malacostraca,Amphipoda,,,,,Tyrel Froese,,,,Hakai Institute,,Canada,British Columbia,Discovery Islands,Quadra Island,Hyacinthe Bay,50.117,-125.223,,,,,,,,,Planktonic,Plankton Net,,QU38,
BHAK-1630,BHAK-1630,Arthropoda-047561,Florida Museum of Natural History,BHAK,BHAK2628-20,BHAK-1630,BHAK-1630,,Arthropoda-047561,0[n],0[n],640[0n],2,0[n],0[n],0[n],0[n],2,Yes,30-Jul-2017,Amphipoda,Florida Museum of Natural History,different specimen of same species UFID: Arthropoda-047561,Arthropoda,Malacostraca,Amphipoda,,,,,Gustav Paulay,paulay@flmnh.ufl.edu,morphology,,Gustav Paulay,30-Jul-2017,Canada,British Columbia,Central Coast,Calvert Island,Meay Channel,51.665,-128.135,,18,,,GPS,,,,,hand collected by SCUBA,,,IHAK20
QHAK-00308,QHAK-00308,,Hakai Institute,QHAK,QHAK495-21,QHAK-00308,QHAK-00308,,,0[n],0[n],658[0n],,0[n],0[n],0[n],0[n],,No,,Amphipoda,Hakai Institute,,Arthropoda,Malacostraca,Amphipoda,,,,,Kyle D Hall,kyle.hall@hakai.org,,,Hakai Institute,,Canada,British Columbia,Discovery Islands,Quadra Island,Sutil Channel,50.12,-125.13,,,,,,,,,Planktonic,Plankton Net,,QU17,
QHAK-00274,QHAK-00274,,Hakai Institute,QHAK,QHAK462-21,QHAK-00274,QHAK-00274,,,0[n],0[n],658[0n],,0[n],0[n],0[n],0[n],,No,,Amphipoda,Hakai Institute,,Arthropoda,Malacostraca,Amphipoda,,,,,Tyrel Froese,,,,Hakai Institute,,Canada,British Columbia,Discovery Islands,Quadra Island,Hyacinthe Bay,50.117,-125.223,,,,,,,,,Planktonic,Plankton Net,,QU38,
QHAK-00272,QHAK-00272,,Hakai Institute,QHAK,QHAK460-21,QHAK-00272,QHAK-00272,,,0[n],0[n],658[0n],,0[n],0[n],0[n],0[n],,No,,Amphipoda,Hakai Institute,,Arthropoda,Malacostraca,Amphipoda,,,,,Tyrel Froese,,,,Hakai Institute,,Canada,British Columbia,Discovery Islands,Quadra Island,Hyacinthe Bay,50.117,-125.223,,,,,,,,,Planktonic,Plankton Net,,QU38,
