accession,taxa_verbatim,found_taxa,rank,kingdom,phylum,class,order,family,genus,freshwater_only,terrestrial_only
MG936219,Evadne sp. 12NJNB0016,Evadne,genus,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Evadne,0,0
KT952481,Evadne nordmanni,Evadne nordmanni,species,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Evadne,0,0
EU675885,Evadne nordmanni,Evadne nordmanni,species,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Evadne,0,0
AY075049,Evadne nordmanni,Evadne nordmanni,species,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Evadne,0,0
OQ644560,Evadne sp.,Evadne,genus,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Evadne,0,0
EU675884,Evadne nordmanni,Evadne nordmanni,species,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Evadne,0,0
EU675888,Evadne nordmanni,Evadne nordmanni,species,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Evadne,0,0
OQ785654,Evadne nordmanni,Evadne nordmanni,species,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Evadne,0,0
EU675883,Evadne nordmanni,Evadne nordmanni,species,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Evadne,0,0
EU675886,Evadne nordmanni,Evadne nordmanni,species,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Evadne,0,0
EU675905,Evadne nordmanni,Evadne nordmanni,species,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Evadne,0,0
OQ785655,Evadne nordmanni,Evadne nordmanni,species,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Evadne,0,0
EU675887,Evadne nordmanni,Evadne nordmanni,species,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Evadne,0,0
OQ785654,Evadne nordmanni,Evadne nordmanni,species,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Evadne,0,0
EU675883,Evadne nordmanni,Evadne nordmanni,species,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Evadne,0,0
EU675886,Evadne nordmanni,Evadne nordmanni,species,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Evadne,0,0
EU675905,Evadne nordmanni,Evadne nordmanni,species,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Evadne,0,0
OQ785655,Evadne nordmanni,Evadne nordmanni,species,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Evadne,0,0
EU675887,Evadne nordmanni,Evadne nordmanni,species,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Evadne,0,0
KT209401,Evadne nordmanni,Evadne nordmanni,species,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Evadne,0,0
EU675902,Evadne nordmanni,Evadne nordmanni,species,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Evadne,0,0
EU675904,Evadne nordmanni,Evadne nordmanni,species,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Evadne,0,0
EU675903,Evadne nordmanni,Evadne nordmanni,species,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Evadne,0,0
KY949280,Evadne nordmanni,Evadne nordmanni,species,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Evadne,0,0
KY949333,Evadne nordmanni,Evadne nordmanni,species,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Evadne,0,0
KY949328,Evadne nordmanni,Evadne nordmanni,species,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Evadne,0,0
KY949275,Evadne nordmanni,Evadne nordmanni,species,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Evadne,0,0
KY949310,Evadne nordmanni,Evadne nordmanni,species,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Evadne,0,0
KY949336,Evadne nordmanni,Evadne nordmanni,species,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Evadne,0,0
KY949289,Evadne nordmanni,Evadne nordmanni,species,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Evadne,0,0
KY949278,Evadne nordmanni,Evadne nordmanni,species,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Evadne,0,0
KY949274,Evadne nordmanni,Evadne nordmanni,species,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Evadne,0,0
KY949327,Evadne nordmanni,Evadne nordmanni,species,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Evadne,0,0
KY949270,Evadne nordmanni,Evadne nordmanni,species,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Evadne,0,0
KY949271,Evadne nordmanni,Evadne nordmanni,species,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Evadne,0,0
KY949320,Evadne nordmanni,Evadne nordmanni,species,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Evadne,0,0
KY949301,Evadne nordmanni,Evadne nordmanni,species,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Evadne,0,0
KY949279,Evadne nordmanni,Evadne nordmanni,species,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Evadne,0,0
KY949284,Evadne nordmanni,Evadne nordmanni,species,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Evadne,0,0
KY949269,Evadne nordmanni,Evadne nordmanni,species,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Evadne,0,0
KY949319,Evadne nordmanni,Evadne nordmanni,species,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Evadne,0,0
KY949312,Evadne nordmanni,Evadne nordmanni,species,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Evadne,0,0
KY949268,Evadne nordmanni,Evadne nordmanni,species,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Evadne,0,0
KY949330,Evadne nordmanni,Evadne nordmanni,species,Animalia,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Evadne,0,0
KT208459,Oithona similis,Oithona similis,species,Animalia,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Oithona,0,0
KT208745,Oithona similis,Oithona similis,species,Animalia,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Oithona,0,0
MG316221,Oithona similis,Oithona similis,species,Animalia,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Oithona,0,0
MT951687,Acartia longiremis,Acartia (Acartiura) longiremis,species,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,0,0
HM473347,Dodecaceria sp. CMC01,Dodecaceria,genus,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,Dodecaceria,0,0
HM473349,Dodecaceria sp. CMC01,Dodecaceria,genus,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,Dodecaceria,0,0
HM473345,Dodecaceria sp. CMC01,Dodecaceria,genus,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,Dodecaceria,0,0
HM473351,Dodecaceria sp. CMC01,Dodecaceria,genus,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,Dodecaceria,0,0
HM473350,Dodecaceria sp. CMC01,Dodecaceria,genus,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,Dodecaceria,0,0
HM473345,Dodecaceria sp. CMC01,Dodecaceria,genus,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,Dodecaceria,0,0
HM473351,Dodecaceria sp. CMC01,Dodecaceria,genus,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,Dodecaceria,0,0
HM473350,Dodecaceria sp. CMC01,Dodecaceria,genus,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,Dodecaceria,0,0
HM473348,Dodecaceria sp. CMC01,Dodecaceria,genus,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,Dodecaceria,0,0
HM473346,Dodecaceria sp. CMC01,Dodecaceria,genus,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,Dodecaceria,0,0
HQ932543,Dodecaceria sp. CMC01,Dodecaceria,genus,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,Dodecaceria,0,0
HM473354,Dodecaceria sp. CMC02,Dodecaceria,genus,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,Dodecaceria,0,0
HM473356,Dodecaceria sp. CMC02,Dodecaceria,genus,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,Dodecaceria,0,0
HM473352,Dodecaceria sp. CMC02,Dodecaceria,genus,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,Dodecaceria,0,0
HM473360,Dodecaceria sp. CMC02,Dodecaceria,genus,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,Dodecaceria,0,0
HM473361,Dodecaceria sp. CMC02,Dodecaceria,genus,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,Dodecaceria,0,0
HM473359,Dodecaceria sp. CMC02,Dodecaceria,genus,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,Dodecaceria,0,0
HM473357,Dodecaceria sp. CMC02,Dodecaceria,genus,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,Dodecaceria,0,0
HM473353,Dodecaceria sp. CMC02,Dodecaceria,genus,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,Dodecaceria,0,0
HM473358,Dodecaceria sp. CMC02,Dodecaceria,genus,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,Dodecaceria,0,0
HM473355,Dodecaceria sp. CMC02,Dodecaceria,genus,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,Dodecaceria,0,0
MH242800,Humilaria kennerleyi,Humilaria kennerleyi,species,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Humilaria,0,0
MW786913,Bolinopsis microptera,Bolinopsis microptera,species,Animalia,Ctenophora,Tentaculata,Lobata,Bolinopsidae,Bolinopsis,0,0
OK086294,Bolinopsis microptera,Bolinopsis microptera,species,Animalia,Ctenophora,Tentaculata,Lobata,Bolinopsidae,Bolinopsis,0,0
OK086290,Bolinopsis microptera,Bolinopsis microptera,species,Animalia,Ctenophora,Tentaculata,Lobata,Bolinopsidae,Bolinopsis,0,0
MW786900,Bolinopsis microptera,Bolinopsis microptera,species,Animalia,Ctenophora,Tentaculata,Lobata,Bolinopsidae,Bolinopsis,0,0
MW786880,Bolinopsis microptera,Bolinopsis microptera,species,Animalia,Ctenophora,Tentaculata,Lobata,Bolinopsidae,Bolinopsis,0,0
OK086289,Bolinopsis microptera,Bolinopsis microptera,species,Animalia,Ctenophora,Tentaculata,Lobata,Bolinopsidae,Bolinopsis,0,0
MW786885,Bolinopsis microptera,Bolinopsis microptera,species,Animalia,Ctenophora,Tentaculata,Lobata,Bolinopsidae,Bolinopsis,0,0
MW786942,Bolinopsis microptera,Bolinopsis microptera,species,Animalia,Ctenophora,Tentaculata,Lobata,Bolinopsidae,Bolinopsis,0,0
KC138514,Wanella milleporae,Wanella milleporae,species,Animalia,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Wanella,0,0
EU854723,Wanella milleporae,Wanella milleporae,species,Animalia,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Wanella,0,0
HQ932608,Chone magna CMC02,Chone magna,species,Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,Chone,0,0
MF121359,Chone magna CMC02,Chone magna,species,Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,Chone,0,0
HQ932686,Chone magna CMC02,Chone magna,species,Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,Chone,0,0
HQ932548,Chone magna CMC02,Chone magna,species,Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,Chone,0,0
MH242704,Chone sp. BMBM-0875,Chone,genus,Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,Chone,0,0
HM473340,Chone magna CMC02,Chone magna,species,Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,Chone,0,0
HM473341,Chone magna CMC02,Chone magna,species,Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,Chone,0,0
HM473337,Chone magna CMC02,Chone magna,species,Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,Chone,0,0
HM473339,Chone magna CMC02,Chone magna,species,Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,Chone,0,0
HM473338,Chone magna CMC02,Chone magna,species,Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,Chone,0,0
HM473342,Chone magna CMC02,Chone magna,species,Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,Chone,0,0
MF121618,Armandia brevis,Armandia brevis,species,Animalia,Annelida,Polychaeta,NA,Opheliidae,Armandia,0,0
MF121614,Armandia brevis,Armandia brevis,species,Animalia,Annelida,Polychaeta,NA,Opheliidae,Armandia,0,0
MF121137,Armandia brevis,Armandia brevis,species,Animalia,Annelida,Polychaeta,NA,Opheliidae,Armandia,0,0
MF121454,Armandia brevis,Armandia brevis,species,Animalia,Annelida,Polychaeta,NA,Opheliidae,Armandia,0,0
MF121073,Armandia brevis,Armandia brevis,species,Animalia,Annelida,Polychaeta,NA,Opheliidae,Armandia,0,0
MF121479,Armandia brevis,Armandia brevis,species,Animalia,Annelida,Polychaeta,NA,Opheliidae,Armandia,0,0
ON038419,Synchaeta vorax,Synchaeta vorax,species,Animalia,Rotifera,Eurotatoria,Ploima,Synchaetidae,Synchaeta,0,0
ON038421,Synchaeta vorax,Synchaeta vorax,species,Animalia,Rotifera,Eurotatoria,Ploima,Synchaetidae,Synchaeta,0,0
ON038420,Synchaeta vorax,Synchaeta vorax,species,Animalia,Rotifera,Eurotatoria,Ploima,Synchaetidae,Synchaeta,0,0
ON038423,Synchaeta vorax,Synchaeta vorax,species,Animalia,Rotifera,Eurotatoria,Ploima,Synchaetidae,Synchaeta,0,0
ON038422,Synchaeta vorax,Synchaeta vorax,species,Animalia,Rotifera,Eurotatoria,Ploima,Synchaetidae,Synchaeta,0,0
MK905797,Synchaeta triophthalma,Synchaeta triophthalma,species,Animalia,Rotifera,Eurotatoria,Ploima,Synchaetidae,Synchaeta,0,0
MK905801,Synchaeta triophthalma,Synchaeta triophthalma,species,Animalia,Rotifera,Eurotatoria,Ploima,Synchaetidae,Synchaeta,0,0
MK905794,Synchaeta triophthalma,Synchaeta triophthalma,species,Animalia,Rotifera,Eurotatoria,Ploima,Synchaetidae,Synchaeta,0,0
MK905798,Synchaeta triophthalma,Synchaeta triophthalma,species,Animalia,Rotifera,Eurotatoria,Ploima,Synchaetidae,Synchaeta,0,0
MK905799,Synchaeta triophthalma,Synchaeta triophthalma,species,Animalia,Rotifera,Eurotatoria,Ploima,Synchaetidae,Synchaeta,0,0
MK905795,Synchaeta triophthalma,Synchaeta triophthalma,species,Animalia,Rotifera,Eurotatoria,Ploima,Synchaetidae,Synchaeta,0,0
MK905802,Synchaeta triophthalma,Synchaeta triophthalma,species,Animalia,Rotifera,Eurotatoria,Ploima,Synchaetidae,Synchaeta,0,0
MK905803,Synchaeta triophthalma,Synchaeta triophthalma,species,Animalia,Rotifera,Eurotatoria,Ploima,Synchaetidae,Synchaeta,0,0
MK905800,Synchaeta triophthalma,Synchaeta triophthalma,species,Animalia,Rotifera,Eurotatoria,Ploima,Synchaetidae,Synchaeta,0,0
MK905796,Synchaeta triophthalma,Synchaeta triophthalma,species,Animalia,Rotifera,Eurotatoria,Ploima,Synchaetidae,Synchaeta,0,0
MW256484,Chthamalus sp. COIMB2085,Chthamalus,genus,Animalia,Arthropoda,Thecostraca,Balanomorpha,Chthamalidae,Chthamalus,0,0
KU204300,Chthamalidae sp. 144736A,Chthamalidae,family,Animalia,Arthropoda,Thecostraca,Balanomorpha,Chthamalidae,NA,0,0
KU204303,Chthamalidae sp. 144769A,Chthamalidae,family,Animalia,Arthropoda,Thecostraca,Balanomorpha,Chthamalidae,NA,0,0
AF234800,Chthamalus dalli,Chthamalus dalli,species,Animalia,Arthropoda,Thecostraca,Balanomorpha,Chthamalidae,Chthamalus,0,0
KM974416,Chthamalus dalli,Chthamalus dalli,species,Animalia,Arthropoda,Thecostraca,Balanomorpha,Chthamalidae,Chthamalus,0,0
AF234814,Chthamalus dalli,Chthamalus dalli,species,Animalia,Arthropoda,Thecostraca,Balanomorpha,Chthamalidae,Chthamalus,0,0
KU204281,Chthamalidae sp. 142934A,Chthamalidae,family,Animalia,Arthropoda,Thecostraca,Balanomorpha,Chthamalidae,NA,0,0
KU204274,Chthamalidae sp. 142893A,Chthamalidae,family,Animalia,Arthropoda,Thecostraca,Balanomorpha,Chthamalidae,NA,0,0
KU204302,Chthamalidae sp. 144752A,Chthamalidae,family,Animalia,Arthropoda,Thecostraca,Balanomorpha,Chthamalidae,NA,0,0
AY795299,Chthamalus dalli,Chthamalus dalli,species,Animalia,Arthropoda,Thecostraca,Balanomorpha,Chthamalidae,Chthamalus,0,0
AY795297,Chthamalus dalli,Chthamalus dalli,species,Animalia,Arthropoda,Thecostraca,Balanomorpha,Chthamalidae,Chthamalus,0,0
AY795294,Chthamalus dalli,Chthamalus dalli,species,Animalia,Arthropoda,Thecostraca,Balanomorpha,Chthamalidae,Chthamalus,0,0
AY795284,Chthamalus dalli,Chthamalus dalli,species,Animalia,Arthropoda,Thecostraca,Balanomorpha,Chthamalidae,Chthamalus,0,0
AY795291,Chthamalus dalli,Chthamalus dalli,species,Animalia,Arthropoda,Thecostraca,Balanomorpha,Chthamalidae,Chthamalus,0,0
AY795282,Chthamalus dalli,Chthamalus dalli,species,Animalia,Arthropoda,Thecostraca,Balanomorpha,Chthamalidae,Chthamalus,0,0
AY795287,Chthamalus dalli,Chthamalus dalli,species,Animalia,Arthropoda,Thecostraca,Balanomorpha,Chthamalidae,Chthamalus,0,0
AY795283,Chthamalus dalli,Chthamalus dalli,species,Animalia,Arthropoda,Thecostraca,Balanomorpha,Chthamalidae,Chthamalus,0,0
AY795296,Chthamalus dalli,Chthamalus dalli,species,Animalia,Arthropoda,Thecostraca,Balanomorpha,Chthamalidae,Chthamalus,0,0
AY795298,Chthamalus dalli,Chthamalus dalli,species,Animalia,Arthropoda,Thecostraca,Balanomorpha,Chthamalidae,Chthamalus,0,0
AY795295,Chthamalus dalli,Chthamalus dalli,species,Animalia,Arthropoda,Thecostraca,Balanomorpha,Chthamalidae,Chthamalus,0,0
AY795290,Chthamalus dalli,Chthamalus dalli,species,Animalia,Arthropoda,Thecostraca,Balanomorpha,Chthamalidae,Chthamalus,0,0
AY795285,Chthamalus dalli,Chthamalus dalli,species,Animalia,Arthropoda,Thecostraca,Balanomorpha,Chthamalidae,Chthamalus,0,0
AY795289,Chthamalus dalli,Chthamalus dalli,species,Animalia,Arthropoda,Thecostraca,Balanomorpha,Chthamalidae,Chthamalus,0,0
AY795286,Chthamalus dalli,Chthamalus dalli,species,Animalia,Arthropoda,Thecostraca,Balanomorpha,Chthamalidae,Chthamalus,0,0
AY795293,Chthamalus dalli,Chthamalus dalli,species,Animalia,Arthropoda,Thecostraca,Balanomorpha,Chthamalidae,Chthamalus,0,0
AY795458,Chthamalus dalli,Chthamalus dalli,species,Animalia,Arthropoda,Thecostraca,Balanomorpha,Chthamalidae,Chthamalus,0,0
AY795473,Chthamalus dalli,Chthamalus dalli,species,Animalia,Arthropoda,Thecostraca,Balanomorpha,Chthamalidae,Chthamalus,0,0
AY795415,Chthamalus dalli,Chthamalus dalli,species,Animalia,Arthropoda,Thecostraca,Balanomorpha,Chthamalidae,Chthamalus,0,0
AY795469,Chthamalus dalli,Chthamalus dalli,species,Animalia,Arthropoda,Thecostraca,Balanomorpha,Chthamalidae,Chthamalus,0,0
AY795404,Chthamalus dalli,Chthamalus dalli,species,Animalia,Arthropoda,Thecostraca,Balanomorpha,Chthamalidae,Chthamalus,0,0
AY795419,Chthamalus dalli,Chthamalus dalli,species,Animalia,Arthropoda,Thecostraca,Balanomorpha,Chthamalidae,Chthamalus,0,0
AY795476,Chthamalus dalli,Chthamalus dalli,species,Animalia,Arthropoda,Thecostraca,Balanomorpha,Chthamalidae,Chthamalus,0,0
AY795416,Chthamalus dalli,Chthamalus dalli,species,Animalia,Arthropoda,Thecostraca,Balanomorpha,Chthamalidae,Chthamalus,0,0
AY795417,Chthamalus dalli,Chthamalus dalli,species,Animalia,Arthropoda,Thecostraca,Balanomorpha,Chthamalidae,Chthamalus,0,0
AY795465,Chthamalus dalli,Chthamalus dalli,species,Animalia,Arthropoda,Thecostraca,Balanomorpha,Chthamalidae,Chthamalus,0,0
AY795470,Chthamalus dalli,Chthamalus dalli,species,Animalia,Arthropoda,Thecostraca,Balanomorpha,Chthamalidae,Chthamalus,0,0
AY795406,Chthamalus dalli,Chthamalus dalli,species,Animalia,Arthropoda,Thecostraca,Balanomorpha,Chthamalidae,Chthamalus,0,0
AY795407,Chthamalus dalli,Chthamalus dalli,species,Animalia,Arthropoda,Thecostraca,Balanomorpha,Chthamalidae,Chthamalus,0,0
AY795477,Chthamalus dalli,Chthamalus dalli,species,Animalia,Arthropoda,Thecostraca,Balanomorpha,Chthamalidae,Chthamalus,0,0
AY795466,Chthamalus dalli,Chthamalus dalli,species,Animalia,Arthropoda,Thecostraca,Balanomorpha,Chthamalidae,Chthamalus,0,0
AY795457,Chthamalus dalli,Chthamalus dalli,species,Animalia,Arthropoda,Thecostraca,Balanomorpha,Chthamalidae,Chthamalus,0,0
AY795460,Chthamalus dalli,Chthamalus dalli,species,Animalia,Arthropoda,Thecostraca,Balanomorpha,Chthamalidae,Chthamalus,0,0
AY795462,Chthamalus dalli,Chthamalus dalli,species,Animalia,Arthropoda,Thecostraca,Balanomorpha,Chthamalidae,Chthamalus,0,0
AY795410,Chthamalus dalli,Chthamalus dalli,species,Animalia,Arthropoda,Thecostraca,Balanomorpha,Chthamalidae,Chthamalus,0,0
AY795418,Chthamalus dalli,Chthamalus dalli,species,Animalia,Arthropoda,Thecostraca,Balanomorpha,Chthamalidae,Chthamalus,0,0
AY795413,Chthamalus dalli,Chthamalus dalli,species,Animalia,Arthropoda,Thecostraca,Balanomorpha,Chthamalidae,Chthamalus,0,0
AY795409,Chthamalus dalli,Chthamalus dalli,species,Animalia,Arthropoda,Thecostraca,Balanomorpha,Chthamalidae,Chthamalus,0,0
AY795464,Chthamalus dalli,Chthamalus dalli,species,Animalia,Arthropoda,Thecostraca,Balanomorpha,Chthamalidae,Chthamalus,0,0
AY795475,Chthamalus dalli,Chthamalus dalli,species,Animalia,Arthropoda,Thecostraca,Balanomorpha,Chthamalidae,Chthamalus,0,0
AY795411,Chthamalus dalli,Chthamalus dalli,species,Animalia,Arthropoda,Thecostraca,Balanomorpha,Chthamalidae,Chthamalus,0,0
OK081469,Tubulanus sp. Palaeo_OR055_22VIII16,Tubulanus,genus,Animalia,Nemertea,Palaeonemertea,Tubulaniformes,Tubulanidae,Tubulanus,0,0
MF121551,Typosyllis sp. 11BIOAK-1407,Syllis,genus,Animalia,Annelida,Polychaeta,Phyllodocida,Syllidae,Typosyllis,0,0
HQ932487,Typosyllis sp. CMC01,Syllis,genus,Animalia,Annelida,Polychaeta,Phyllodocida,Syllidae,Typosyllis,0,0
HM473717,Typosyllis sp. CMC01,Syllis,genus,Animalia,Annelida,Polychaeta,Phyllodocida,Syllidae,Typosyllis,0,0
MF121087,Typosyllis sp. 11BIOAK-1422,Syllis,genus,Animalia,Annelida,Polychaeta,Phyllodocida,Syllidae,Typosyllis,0,0
MF121406,Typosyllis sp. 11BIOAK-1434,Syllis,genus,Animalia,Annelida,Polychaeta,Phyllodocida,Syllidae,Typosyllis,0,0
OR590596,Typosyllis sp.,Syllis,genus,Animalia,Annelida,Polychaeta,Phyllodocida,Syllidae,Typosyllis,0,0
MF121432,Typosyllis sp. 11BIOAK-0835,Syllis,genus,Animalia,Annelida,Polychaeta,Phyllodocida,Syllidae,Typosyllis,0,0
HM473714,Typosyllis sp. CMC01,Syllis,genus,Animalia,Annelida,Polychaeta,Phyllodocida,Syllidae,Typosyllis,0,0
HM473716,Typosyllis sp. CMC01,Syllis,genus,Animalia,Annelida,Polychaeta,Phyllodocida,Syllidae,Typosyllis,0,0
HM473715,Typosyllis sp. CMC01,Syllis,genus,Animalia,Annelida,Polychaeta,Phyllodocida,Syllidae,Typosyllis,0,0
KF715883,Paracalanus sp. C AC-2013,Paracalanus,genus,Animalia,Arthropoda,Copepoda,Calanoida,Paracalanidae,Paracalanus,0,0
KF715887,Paracalanus sp. C AC-2013,Paracalanus,genus,Animalia,Arthropoda,Copepoda,Calanoida,Paracalanidae,Paracalanus,0,0
KF715882,Paracalanus sp. C AC-2013,Paracalanus,genus,Animalia,Arthropoda,Copepoda,Calanoida,Paracalanidae,Paracalanus,0,0
KR048950,Paracalanus parvus,Paracalanus parvus parvus,species,Animalia,Arthropoda,Copepoda,Calanoida,Paracalanidae,Paracalanus,0,0
MN764427,Paracalanus sp. C AC-2013,Paracalanus,genus,Animalia,Arthropoda,Copepoda,Calanoida,Paracalanidae,Paracalanus,0,0
MN764425,Paracalanus sp. C AC-2013,Paracalanus,genus,Animalia,Arthropoda,Copepoda,Calanoida,Paracalanidae,Paracalanus,0,0
MN764428,Paracalanus sp. C AC-2013,Paracalanus,genus,Animalia,Arthropoda,Copepoda,Calanoida,Paracalanidae,Paracalanus,0,0
MF742062,Aequorea sp. USCAPIL,Aequorea,genus,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,0,0
MF742052,Aequorea sp. USORNPT,Aequorea,genus,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,0,0
MF742028,Aequorea sp. USWAWBS,Aequorea,genus,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,0,0
MF742049,Aequorea sp. USWABSP,Aequorea,genus,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,0,0
MF742047,Aequorea sp. USWABSP,Aequorea,genus,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,0,0
MF742032,Aequorea sp. USWAENR,Aequorea,genus,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,0,0
MF742029,Aequorea sp. USWAWBS,Aequorea,genus,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,0,0
MF742063,Aequorea sp. USCAPIL,Aequorea,genus,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,0,0
MF742042,Aequorea sp. USWASCL,Aequorea,genus,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,0,0
MF742074,Aequorea sp. USCABGF,Aequorea,genus,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,0,0
MF742036,Aequorea sp. USWAENR,Aequorea,genus,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,0,0
MF742070,Aequorea sp. USWAASB,Aequorea,genus,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,0,0
MF742030,Aequorea sp. USWAWBS,Aequorea,genus,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,0,0
MF742069,Aequorea sp. USWAASB,Aequorea,genus,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,0,0
MF742051,Aequorea sp. USWAWBS,Aequorea,genus,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,0,0
MF742034,Aequorea sp. USWAENR,Aequorea,genus,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,0,0
